Dataset,Model,Predict Function of Model,Metric Function,Score,Seed,Estimator Tag
CHD_49,PCC_AdaBoostClassifier,Predict Hamming,Hamming Accuracy,0.702515,1,adaboost
CHD_49,PCC_AdaBoostClassifier,Predict Hamming,Subset Accuracy,0.14422,1,adaboost
CHD_49,PCC_AdaBoostClassifier,Predict Hamming,Precision Score,0.680336,1,adaboost
CHD_49,PCC_AdaBoostClassifier,Predict Hamming,Negative Predictive Value,0.740951,1,adaboost
CHD_49,PCC_AdaBoostClassifier,Predict Hamming,Recall Score,0.619584,1,adaboost
CHD_49,PCC_AdaBoostClassifier,Predict Hamming,Markedness,0.710643,1,adaboost
CHD_49,PCC_AdaBoostClassifier,Predict Hamming,Fmeasure Score,0.616391,1,adaboost
CHD_49,PCC_AdaBoostClassifier,Predict Hamming,Informedness,0.573561,1,adaboost
CHD_49,PCC_AdaBoostClassifier,Predict Hamming,Macro F1,0.513964,1,adaboost
CHD_49,PCC_AdaBoostClassifier,Predict Hamming,Micro F1,0.645448,1,adaboost
CHD_49,PCC_AdaBoostClassifier,Predict Subset,Hamming Accuracy,0.663431,1,adaboost
CHD_49,PCC_AdaBoostClassifier,Predict Subset,Subset Accuracy,0.165908,1,adaboost
CHD_49,PCC_AdaBoostClassifier,Predict Subset,Precision Score,0.58702,1,adaboost
CHD_49,PCC_AdaBoostClassifier,Predict Subset,Negative Predictive Value,0.783177,1,adaboost
CHD_49,PCC_AdaBoostClassifier,Predict Subset,Recall Score,0.741632,1,adaboost
CHD_49,PCC_AdaBoostClassifier,Predict Subset,Markedness,0.685098,1,adaboost
CHD_49,PCC_AdaBoostClassifier,Predict Subset,Fmeasure Score,0.627095,1,adaboost
CHD_49,PCC_AdaBoostClassifier,Predict Subset,Informedness,0.578284,1,adaboost
CHD_49,PCC_AdaBoostClassifier,Predict Subset,Macro F1,0.583345,1,adaboost
CHD_49,PCC_AdaBoostClassifier,Predict Subset,Micro F1,0.656506,1,adaboost
CHD_49,PCC_AdaBoostClassifier,Predict Precision,Hamming Accuracy,0.64528,1,adaboost
CHD_49,PCC_AdaBoostClassifier,Predict Precision,Subset Accuracy,0.03237,1,adaboost
CHD_49,PCC_AdaBoostClassifier,Predict Precision,Precision Score,0.726201,1,adaboost
CHD_49,PCC_AdaBoostClassifier,Predict Precision,Negative Predictive Value,0.629097,1,adaboost
CHD_49,PCC_AdaBoostClassifier,Predict Precision,Recall Score,0.287566,1,adaboost
CHD_49,PCC_AdaBoostClassifier,Predict Precision,Markedness,0.677649,1,adaboost
CHD_49,PCC_AdaBoostClassifier,Predict Precision,Fmeasure Score,0.40023,1,adaboost
CHD_49,PCC_AdaBoostClassifier,Predict Precision,Informedness,0.558926,1,adaboost
CHD_49,PCC_AdaBoostClassifier,Predict Precision,Macro F1,0.316852,1,adaboost
CHD_49,PCC_AdaBoostClassifier,Predict Precision,Micro F1,0.405315,1,adaboost
CHD_49,PCC_AdaBoostClassifier,Predict NPV,Hamming Accuracy,0.586645,1,adaboost
CHD_49,PCC_AdaBoostClassifier,Predict NPV,Subset Accuracy,0.0,1,adaboost
CHD_49,PCC_AdaBoostClassifier,Predict NPV,Precision Score,0.510058,1,adaboost
CHD_49,PCC_AdaBoostClassifier,Predict NPV,Negative Predictive Value,0.969578,1,adaboost
CHD_49,PCC_AdaBoostClassifier,Predict NPV,Recall Score,0.981288,1,adaboost
CHD_49,PCC_AdaBoostClassifier,Predict NPV,Markedness,0.739818,1,adaboost
CHD_49,PCC_AdaBoostClassifier,Predict NPV,Fmeasure Score,0.651071,1,adaboost
CHD_49,PCC_AdaBoostClassifier,Predict NPV,Informedness,0.542263,1,adaboost
CHD_49,PCC_AdaBoostClassifier,Predict NPV,Macro F1,0.562505,1,adaboost
CHD_49,PCC_AdaBoostClassifier,Predict NPV,Micro F1,0.67255,1,adaboost
CHD_49,PCC_AdaBoostClassifier,Predict Recall,Hamming Accuracy,0.430118,1,adaboost
CHD_49,PCC_AdaBoostClassifier,Predict Recall,Subset Accuracy,0.0,1,adaboost
CHD_49,PCC_AdaBoostClassifier,Predict Recall,Precision Score,0.430118,1,adaboost
CHD_49,PCC_AdaBoostClassifier,Predict Recall,Negative Predictive Value,0.0,1,adaboost
CHD_49,PCC_AdaBoostClassifier,Predict Recall,Recall Score,0.99461,1,adaboost
CHD_49,PCC_AdaBoostClassifier,Predict Recall,Markedness,0.215058,1,adaboost
CHD_49,PCC_AdaBoostClassifier,Predict Recall,Fmeasure Score,0.58356,1,adaboost
CHD_49,PCC_AdaBoostClassifier,Predict Recall,Informedness,0.5,1,adaboost
CHD_49,PCC_AdaBoostClassifier,Predict Recall,Macro F1,0.558809,1,adaboost
CHD_49,PCC_AdaBoostClassifier,Predict Recall,Micro F1,0.6013,1,adaboost
CHD_49,PCC_AdaBoostClassifier,Predict Markedness,Hamming Accuracy,0.598046,1,adaboost
CHD_49,PCC_AdaBoostClassifier,Predict Markedness,Subset Accuracy,0.027079,1,adaboost
CHD_49,PCC_AdaBoostClassifier,Predict Markedness,Precision Score,0.520818,1,adaboost
CHD_49,PCC_AdaBoostClassifier,Predict Markedness,Negative Predictive Value,0.957975,1,adaboost
CHD_49,PCC_AdaBoostClassifier,Predict Markedness,Recall Score,0.962144,1,adaboost
