Dataset,Base Model,Predict Func,Fmeasure Score,Hamming Accuracy,Informedness,Markedness,Negative Predictive Value,Precision Score,Recall Score,Subset Accuracy,All
CHD_49,LogisticRegression,Predict Fmeasure,66.941,67.7255,56.2882,71.8978,83.7601,60.0355,83.3448,11.7142,62.7133875
CHD_49,LogisticRegression,Predict Hamming,63.567,70.2926,57.2211,70.9031,75.587,66.2194,66.8776,18.2337,61.1126875
CHD_49,LogisticRegression,Predict Informedness,65.8631,70.2889,57.3401,71.0278,77.8419,64.2136,73.3231,15.7046,61.9503875
CHD_49,LogisticRegression,Predict Markedness,62.9598,67.7375,56.3834,72.7878,81.4591,64.1167,73.4011,12.2825,61.3909875
CHD_49,LogisticRegression,Predict NPV,64.9575,58.4713,51.3984,73.6413,96.3962,50.8863,97.9193,0.0,61.7087875
CHD_49,LogisticRegression,Predict Precision,41.215,65.149,53.9591,68.8749,63.2857,74.4643,29.6402,3.2499,49.9797625
CHD_49,LogisticRegression,Predict Recall,58.3491,43.0059,50.0,21.5032,0.0,43.0059,99.4578,0.0,39.4152375
CHD_49,LogisticRegression,Predict Subset,64.229,69.2717,56.6202,70.2197,76.6578,63.7817,70.5828,20.3897,61.469075000000004
emotions,LogisticRegression,Predict Fmeasure,66.1606,75.7811,76.4361,75.195,89.9567,60.4333,81.4911,20.5877,68.2552
emotions,LogisticRegression,Predict Hamming,60.4205,79.4379,73.9485,74.7792,84.7403,64.8183,62.4923,25.3107,65.74346249999999
emotions,LogisticRegression,Predict Informedness,65.8911,76.9051,76.3209,75.2999,88.7272,61.8725,78.0583,21.9322,68.1259
emotions,LogisticRegression,Predict Markedness,61.6131,77.5852,73.0222,76.4276,85.1549,67.7002,65.1652,23.6271,66.2869375
emotions,LogisticRegression,Predict NPV,52.1078,46.7402,60.333,66.7628,96.7965,36.7287,98.2863,0.0,57.2194125
emotions,LogisticRegression,Predict Precision,51.0033,76.4285,65.5505,74.9408,77.1722,72.709,41.4725,15.5253,59.3502625
emotions,LogisticRegression,Predict Recall,46.378,31.1411,50.0,15.5706,0.0,31.1411,100.0,0.0,34.27885
emotions,LogisticRegression,Predict Subset,63.2975,78.7085,74.981,75.5831,85.5702,65.5962,67.0773,27.6808,67.311825
scene,LogisticRegression,Predict Fmeasure,69.1381,86.8722,83.5362,80.1485,95.0206,65.2766,78.8461,47.903,75.8426625
scene,LogisticRegression,Predict Hamming,66.078,88.9216,80.8782,79.6378,93.1206,66.155,68.0645,57.7069,75.070325
scene,LogisticRegression,Predict Informedness,69.7651,86.1518,84.2098,80.1254,95.5115,64.7393,81.7541,44.1219,75.79736249999999
scene,LogisticRegression,Predict Markedness,69.8561,88.7552,82.3338,81.7885,93.7452,69.8321,72.5309,59.9503,77.3490125
scene,LogisticRegression,Predict NPV,34.9691,34.4413,59.7347,60.5151,99.6259,21.4045,99.6468,0.0,51.292175
scene,LogisticRegression,Predict Precision,69.4575,89.309,81.1568,82.2354,92.8458,71.6249,68.377,65.1429,77.5186625
scene,LogisticRegression,Predict Recall,30.1542,17.8993,50.0,8.9496,0.0,17.8993,100.0,0.0,28.1128
scene,LogisticRegression,Predict Subset,68.4393,88.7134,81.4921,81.0432,93.3068,68.7792,70.1007,60.3232,76.5247375
All,,,59.70045,68.155575,66.3810125,67.07742083333333,76.09509166666666,58.059733333333334,76.16290833333333,22.974441666666667,61.825829166666665
