Dataset,Model,Predict Function of Model,Metric Function,Score,Seed,Estimator Tag
PlantPseAAC,PCC_AdaBoostClassifier,Predict Hamming,Hamming Accuracy,0.905671,1,adaboost
PlantPseAAC,PCC_AdaBoostClassifier,Predict Hamming,Subset Accuracy,0.016357,1,adaboost
PlantPseAAC,PCC_AdaBoostClassifier,Predict Hamming,Precision Score,0.023012,1,adaboost
PlantPseAAC,PCC_AdaBoostClassifier,Predict Hamming,Negative Predictive Value,0.911401,1,adaboost
PlantPseAAC,PCC_AdaBoostClassifier,Predict Hamming,Recall Score,0.02045,1,adaboost
PlantPseAAC,PCC_AdaBoostClassifier,Predict Hamming,Markedness,0.467208,1,adaboost
PlantPseAAC,PCC_AdaBoostClassifier,Predict Hamming,Fmeasure Score,0.021133,1,adaboost
PlantPseAAC,PCC_AdaBoostClassifier,Predict Hamming,Informedness,0.511577,1,adaboost
PlantPseAAC,PCC_AdaBoostClassifier,Predict Hamming,Macro F1,0.037891,1,adaboost
PlantPseAAC,PCC_AdaBoostClassifier,Predict Hamming,Micro F1,0.039431,1,adaboost
PlantPseAAC,PCC_AdaBoostClassifier,Predict Subset,Hamming Accuracy,0.810393,1,adaboost
PlantPseAAC,PCC_AdaBoostClassifier,Predict Subset,Subset Accuracy,0.007142,1,adaboost
PlantPseAAC,PCC_AdaBoostClassifier,Predict Subset,Precision Score,0.236638,1,adaboost
PlantPseAAC,PCC_AdaBoostClassifier,Predict Subset,Negative Predictive Value,0.94323,1,adaboost
PlantPseAAC,PCC_AdaBoostClassifier,Predict Subset,Recall Score,0.502558,1,adaboost
PlantPseAAC,PCC_AdaBoostClassifier,Predict Subset,Markedness,0.589934,1,adaboost
PlantPseAAC,PCC_AdaBoostClassifier,Predict Subset,Fmeasure Score,0.31814,1,adaboost
PlantPseAAC,PCC_AdaBoostClassifier,Predict Subset,Informedness,0.520551,1,adaboost
PlantPseAAC,PCC_AdaBoostClassifier,Predict Subset,Macro F1,0.103333,1,adaboost
PlantPseAAC,PCC_AdaBoostClassifier,Predict Subset,Micro F1,0.31584,1,adaboost
PlantPseAAC,PCC_AdaBoostClassifier,Predict Precision,Hamming Accuracy,0.86239,1,adaboost
PlantPseAAC,PCC_AdaBoostClassifier,Predict Precision,Subset Accuracy,0.163601,1,adaboost
PlantPseAAC,PCC_AdaBoostClassifier,Predict Precision,Precision Score,0.213728,1,adaboost
PlantPseAAC,PCC_AdaBoostClassifier,Predict Precision,Negative Predictive Value,0.921361,1,adaboost
PlantPseAAC,PCC_AdaBoostClassifier,Predict Precision,Recall Score,0.188325,1,adaboost
PlantPseAAC,PCC_AdaBoostClassifier,Predict Precision,Markedness,0.567544,1,adaboost
PlantPseAAC,PCC_AdaBoostClassifier,Predict Precision,Fmeasure Score,0.196677,1,adaboost
PlantPseAAC,PCC_AdaBoostClassifier,Predict Precision,Informedness,0.537841,1,adaboost
PlantPseAAC,PCC_AdaBoostClassifier,Predict Precision,Macro F1,0.083037,1,adaboost
PlantPseAAC,PCC_AdaBoostClassifier,Predict Precision,Micro F1,0.205609,1,adaboost
PlantPseAAC,PCC_AdaBoostClassifier,Predict NPV,Hamming Accuracy,0.169656,1,adaboost
PlantPseAAC,PCC_AdaBoostClassifier,Predict NPV,Subset Accuracy,0.0,1,adaboost
PlantPseAAC,PCC_AdaBoostClassifier,Predict NPV,Precision Score,0.096118,1,adaboost
PlantPseAAC,PCC_AdaBoostClassifier,Predict NPV,Negative Predictive Value,0.978551,1,adaboost
PlantPseAAC,PCC_AdaBoostClassifier,Predict NPV,Recall Score,0.980252,1,adaboost
PlantPseAAC,PCC_AdaBoostClassifier,Predict NPV,Markedness,0.537335,1,adaboost
PlantPseAAC,PCC_AdaBoostClassifier,Predict NPV,Fmeasure Score,0.174188,1,adaboost
PlantPseAAC,PCC_AdaBoostClassifier,Predict NPV,Informedness,0.517351,1,adaboost
PlantPseAAC,PCC_AdaBoostClassifier,Predict NPV,Macro F1,0.15659,1,adaboost
PlantPseAAC,PCC_AdaBoostClassifier,Predict NPV,Micro F1,0.175064,1,adaboost
PlantPseAAC,PCC_AdaBoostClassifier,Predict Recall,Hamming Accuracy,0.089899,1,adaboost
PlantPseAAC,PCC_AdaBoostClassifier,Predict Recall,Subset Accuracy,0.0,1,adaboost
PlantPseAAC,PCC_AdaBoostClassifier,Predict Recall,Precision Score,0.089899,1,adaboost
PlantPseAAC,PCC_AdaBoostClassifier,Predict Recall,Negative Predictive Value,0.0,1,adaboost
PlantPseAAC,PCC_AdaBoostClassifier,Predict Recall,Recall Score,1.0,1,adaboost
PlantPseAAC,PCC_AdaBoostClassifier,Predict Recall,Markedness,0.044948,1,adaboost
PlantPseAAC,PCC_AdaBoostClassifier,Predict Recall,Fmeasure Score,0.164179,1,adaboost
PlantPseAAC,PCC_AdaBoostClassifier,Predict Recall,Informedness,0.5,1,adaboost
PlantPseAAC,PCC_AdaBoostClassifier,Predict Recall,Macro F1,0.154059,1,adaboost
PlantPseAAC,PCC_AdaBoostClassifier,Predict Recall,Micro F1,0.164957,1,adaboost
PlantPseAAC,PCC_AdaBoostClassifier,Predict Markedness,Hamming Accuracy,0.406753,1,adaboost
PlantPseAAC,PCC_AdaBoostClassifier,Predict Markedness,Subset Accuracy,0.033747,1,adaboost
PlantPseAAC,PCC_AdaBoostClassifier,Predict Markedness,Precision Score,0.139627,1,adaboost
PlantPseAAC,PCC_AdaBoostClassifier,Predict Markedness,Negative Predictive Value,0.962424,1,adaboost
PlantPseAAC,PCC_AdaBoostClassifier,Predict Markedness,Recall Score,0.770627,1,adaboost
PlantPseAAC,PCC_AdaBoostClassifier,Predict Markedness,Markedness,0.551026,1,adaboost
PlantPseAAC,PCC_AdaBoostClassifier,Predict Markedness,Fmeasure Score,0.201249,1,adaboost
PlantPseAAC,PCC_AdaBoostClassifier,Predict Markedness,Informedness,0.537681,1,adaboost
PlantPseAAC,PCC_AdaBoostClassifier,Predict Markedness,Macro F1,0.157598,1,adaboost
PlantPseAAC,PCC_AdaBoostClassifier,Predict Markedness,Micro F1,0.189135,1,adaboost
PlantPseAAC,PCC_AdaBoostClassifier,Predict Fmeasure,Hamming Accuracy,0.293818,1,adaboost
PlantPseAAC,PCC_AdaBoostClassifier,Predict Fmeasure,Subset Accuracy,0.0,1,adaboost
PlantPseAAC,PCC_AdaBoostClassifier,Predict Fmeasure,Precision Score,0.107947,1,adaboost
PlantPseAAC,PCC_AdaBoostClassifier,Predict Fmeasure,Negative Predictive Value,0.952959,1,adaboost
PlantPseAAC,PCC_AdaBoostClassifier,Predict Fmeasure,Recall Score,0.93377,1,adaboost
PlantPseAAC,PCC_AdaBoostClassifier,Predict Fmeasure,Markedness,0.530451,1,adaboost
PlantPseAAC,PCC_AdaBoostClassifier,Predict Fmeasure,Fmeasure Score,0.192282,1,adaboost
PlantPseAAC,PCC_AdaBoostClassifier,Predict Fmeasure,Informedness,0.53725,1,adaboost
PlantPseAAC,PCC_AdaBoostClassifier,Predict Fmeasure,Macro F1,0.16207,1,adaboost
PlantPseAAC,PCC_AdaBoostClassifier,Predict Fmeasure,Micro F1,0.191876,1,adaboost
PlantPseAAC,PCC_AdaBoostClassifier,Predict Informedness,Hamming Accuracy,0.526981,1,adaboost
PlantPseAAC,PCC_AdaBoostClassifier,Predict Informedness,Subset Accuracy,0.0,1,adaboost
PlantPseAAC,PCC_AdaBoostClassifier,Predict Informedness,Precision Score,0.130273,1,adaboost
PlantPseAAC,PCC_AdaBoostClassifier,Predict Informedness,Negative Predictive Value,0.950381,1,adaboost
PlantPseAAC,PCC_AdaBoostClassifier,Predict Informedness,Recall Score,0.743096,1,adaboost
PlantPseAAC,PCC_AdaBoostClassifier,Predict Informedness,Markedness,0.540329,1,adaboost
PlantPseAAC,PCC_AdaBoostClassifier,Predict Informedness,Fmeasure Score,0.219628,1,adaboost
PlantPseAAC,PCC_AdaBoostClassifier,Predict Informedness,Informedness,0.545404,1,adaboost
PlantPseAAC,PCC_AdaBoostClassifier,Predict Informedness,Macro F1,0.167656,1,adaboost
PlantPseAAC,PCC_AdaBoostClassifier,Predict Informedness,Micro F1,0.218429,1,adaboost
PlantPseAAC,PCC_AdaBoostClassifier,Marginal Scores,One-Error Score,0.213728,1,adaboost
PlantPseAAC,PCC_AdaBoostClassifier,Marginal Scores,Coverage Score,0.633256,1,adaboost
PlantPseAAC,PCC_AdaBoostClassifier,Marginal Scores,Ranking Loss Score,0.653999,1,adaboost
PlantPseAAC,PCC_AdaBoostClassifier,Marginal Scores,Average Precision,0.379919,1,adaboost
PlantPseAAC,BR_AdaBoostClassifier,Predict Hamming,Hamming Accuracy,0.893749,1,adaboost
PlantPseAAC,BR_AdaBoostClassifier,Predict Hamming,Subset Accuracy,0.131917,1,adaboost
PlantPseAAC,BR_AdaBoostClassifier,Predict Hamming,Precision Score,0.182162,1,adaboost
PlantPseAAC,BR_AdaBoostClassifier,Predict Hamming,Negative Predictive Value,0.924977,1,adaboost
PlantPseAAC,BR_AdaBoostClassifier,Predict Hamming,Recall Score,0.20344,1,adaboost
PlantPseAAC,BR_AdaBoostClassifier,Predict Hamming,Markedness,0.553568,1,adaboost
PlantPseAAC,BR_AdaBoostClassifier,Predict Hamming,Fmeasure Score,0.185904,1,adaboost
PlantPseAAC,BR_AdaBoostClassifier,Predict Hamming,Informedness,0.5447,1,adaboost
PlantPseAAC,BR_AdaBoostClassifier,Predict Hamming,Macro F1,0.152819,1,adaboost
PlantPseAAC,BR_AdaBoostClassifier,Predict Hamming,Micro F1,0.251322,1,adaboost
PlantPseAAC,BR_AdaBoostClassifier,Predict Subset,Hamming Accuracy,0.893749,1,adaboost
PlantPseAAC,BR_AdaBoostClassifier,Predict Subset,Subset Accuracy,0.131917,1,adaboost
PlantPseAAC,BR_AdaBoostClassifier,Predict Subset,Precision Score,0.182162,1,adaboost
PlantPseAAC,BR_AdaBoostClassifier,Predict Subset,Negative Predictive Value,0.924977,1,adaboost
PlantPseAAC,BR_AdaBoostClassifier,Predict Subset,Recall Score,0.20344,1,adaboost
PlantPseAAC,BR_AdaBoostClassifier,Predict Subset,Markedness,0.553568,1,adaboost
PlantPseAAC,BR_AdaBoostClassifier,Predict Subset,Fmeasure Score,0.185904,1,adaboost
PlantPseAAC,BR_AdaBoostClassifier,Predict Subset,Informedness,0.5447,1,adaboost
PlantPseAAC,BR_AdaBoostClassifier,Predict Subset,Macro F1,0.152819,1,adaboost
PlantPseAAC,BR_AdaBoostClassifier,Predict Subset,Micro F1,0.251322,1,adaboost
PlantPseAAC,BR_AdaBoostClassifier,Predict Precision,Hamming Accuracy,0.880978,1,adaboost
PlantPseAAC,BR_AdaBoostClassifier,Predict Precision,Subset Accuracy,0.288387,1,adaboost
PlantPseAAC,BR_AdaBoostClassifier,Predict Precision,Precision Score,0.325237,1,adaboost
PlantPseAAC,BR_AdaBoostClassifier,Predict Precision,Negative Predictive Value,0.931497,1,adaboost
PlantPseAAC,BR_AdaBoostClassifier,Predict Precision,Recall Score,0.306641,1,adaboost
PlantPseAAC,BR_AdaBoostClassifier,Predict Precision,Markedness,0.628367,1,adaboost
PlantPseAAC,BR_AdaBoostClassifier,Predict Precision,Fmeasure Score,0.312782,1,adaboost
PlantPseAAC,BR_AdaBoostClassifier,Predict Precision,Informedness,0.552499,1,adaboost
PlantPseAAC,BR_AdaBoostClassifier,Predict Precision,Macro F1,0.175315,1,adaboost
PlantPseAAC,BR_AdaBoostClassifier,Predict Precision,Micro F1,0.31256,1,adaboost
PlantPseAAC,BR_AdaBoostClassifier,Predict NPV,Hamming Accuracy,0.169826,1,adaboost
PlantPseAAC,BR_AdaBoostClassifier,Predict NPV,Subset Accuracy,0.0,1,adaboost
PlantPseAAC,BR_AdaBoostClassifier,Predict NPV,Precision Score,0.096211,1,adaboost
PlantPseAAC,BR_AdaBoostClassifier,Predict NPV,Negative Predictive Value,0.979572,1,adaboost
PlantPseAAC,BR_AdaBoostClassifier,Predict NPV,Recall Score,0.980592,1,adaboost
PlantPseAAC,BR_AdaBoostClassifier,Predict NPV,Markedness,0.537891,1,adaboost
PlantPseAAC,BR_AdaBoostClassifier,Predict NPV,Fmeasure Score,0.174334,1,adaboost
PlantPseAAC,BR_AdaBoostClassifier,Predict NPV,Informedness,0.513285,1,adaboost
PlantPseAAC,BR_AdaBoostClassifier,Predict NPV,Macro F1,0.15519,1,adaboost
PlantPseAAC,BR_AdaBoostClassifier,Predict NPV,Micro F1,0.175229,1,adaboost
PlantPseAAC,BR_AdaBoostClassifier,Predict Recall,Hamming Accuracy,0.089899,1,adaboost
PlantPseAAC,BR_AdaBoostClassifier,Predict Recall,Subset Accuracy,0.0,1,adaboost
PlantPseAAC,BR_AdaBoostClassifier,Predict Recall,Precision Score,0.089899,1,adaboost
PlantPseAAC,BR_AdaBoostClassifier,Predict Recall,Negative Predictive Value,0.0,1,adaboost
PlantPseAAC,BR_AdaBoostClassifier,Predict Recall,Recall Score,1.0,1,adaboost
PlantPseAAC,BR_AdaBoostClassifier,Predict Recall,Markedness,0.044948,1,adaboost
PlantPseAAC,BR_AdaBoostClassifier,Predict Recall,Fmeasure Score,0.164179,1,adaboost
PlantPseAAC,BR_AdaBoostClassifier,Predict Recall,Informedness,0.5,1,adaboost
PlantPseAAC,BR_AdaBoostClassifier,Predict Recall,Macro F1,0.154059,1,adaboost
PlantPseAAC,BR_AdaBoostClassifier,Predict Recall,Micro F1,0.164957,1,adaboost
PlantPseAAC,BR_AdaBoostClassifier,Predict Markedness,Hamming Accuracy,0.249401,1,adaboost
PlantPseAAC,BR_AdaBoostClassifier,Predict Markedness,Subset Accuracy,0.008184,1,adaboost
PlantPseAAC,BR_AdaBoostClassifier,Predict Markedness,Precision Score,0.112562,1,adaboost
PlantPseAAC,BR_AdaBoostClassifier,Predict Markedness,Negative Predictive Value,0.978222,1,adaboost
PlantPseAAC,BR_AdaBoostClassifier,Predict Markedness,Recall Score,0.961188,1,adaboost
PlantPseAAC,BR_AdaBoostClassifier,Predict Markedness,Markedness,0.545392,1,adaboost
PlantPseAAC,BR_AdaBoostClassifier,Predict Markedness,Fmeasure Score,0.194656,1,adaboost
PlantPseAAC,BR_AdaBoostClassifier,Predict Markedness,Informedness,0.530608,1,adaboost
PlantPseAAC,BR_AdaBoostClassifier,Predict Markedness,Macro F1,0.159229,1,adaboost
PlantPseAAC,BR_AdaBoostClassifier,Predict Markedness,Micro F1,0.187329,1,adaboost
PlantPseAAC,BR_AdaBoostClassifier,Predict Fmeasure,Hamming Accuracy,0.259913,1,adaboost
PlantPseAAC,BR_AdaBoostClassifier,Predict Fmeasure,Subset Accuracy,0.0,1,adaboost
PlantPseAAC,BR_AdaBoostClassifier,Predict Fmeasure,Precision Score,0.105977,1,adaboost
PlantPseAAC,BR_AdaBoostClassifier,Predict Fmeasure,Negative Predictive Value,0.937051,1,adaboost
PlantPseAAC,BR_AdaBoostClassifier,Predict Fmeasure,Recall Score,0.96255,1,adaboost
PlantPseAAC,BR_AdaBoostClassifier,Predict Fmeasure,Markedness,0.521517,1,adaboost
PlantPseAAC,BR_AdaBoostClassifier,Predict Fmeasure,Fmeasure Score,0.189762,1,adaboost
PlantPseAAC,BR_AdaBoostClassifier,Predict Fmeasure,Informedness,0.534848,1,adaboost
PlantPseAAC,BR_AdaBoostClassifier,Predict Fmeasure,Macro F1,0.159628,1,adaboost
PlantPseAAC,BR_AdaBoostClassifier,Predict Fmeasure,Micro F1,0.189531,1,adaboost
PlantPseAAC,BR_AdaBoostClassifier,Predict Informedness,Hamming Accuracy,0.469186,1,adaboost
PlantPseAAC,BR_AdaBoostClassifier,Predict Informedness,Subset Accuracy,0.0,1,adaboost
PlantPseAAC,BR_AdaBoostClassifier,Predict Informedness,Precision Score,0.136222,1,adaboost
PlantPseAAC,BR_AdaBoostClassifier,Predict Informedness,Negative Predictive Value,0.976879,1,adaboost
PlantPseAAC,BR_AdaBoostClassifier,Predict Informedness,Recall Score,0.903608,1,adaboost
PlantPseAAC,BR_AdaBoostClassifier,Predict Informedness,Markedness,0.556552,1,adaboost
PlantPseAAC,BR_AdaBoostClassifier,Predict Informedness,Fmeasure Score,0.234703,1,adaboost
PlantPseAAC,BR_AdaBoostClassifier,Predict Informedness,Informedness,0.56984,1,adaboost
PlantPseAAC,BR_AdaBoostClassifier,Predict Informedness,Macro F1,0.174531,1,adaboost
PlantPseAAC,BR_AdaBoostClassifier,Predict Informedness,Micro F1,0.233352,1,adaboost
PlantPseAAC,BR_AdaBoostClassifier,Marginal Scores,One-Error Score,0.325237,1,adaboost
PlantPseAAC,BR_AdaBoostClassifier,Marginal Scores,Coverage Score,0.770064,1,adaboost
PlantPseAAC,BR_AdaBoostClassifier,Marginal Scores,Ranking Loss Score,0.783617,1,adaboost
PlantPseAAC,BR_AdaBoostClassifier,Marginal Scores,Average Precision,0.52822,1,adaboost
PlantPseAAC,PCC_LogisticRegression,Predict Hamming,Hamming Accuracy,0.872186,1,lr
PlantPseAAC,PCC_LogisticRegression,Predict Hamming,Subset Accuracy,0.16458,1,lr
PlantPseAAC,PCC_LogisticRegression,Predict Hamming,Precision Score,0.253144,1,lr
PlantPseAAC,PCC_LogisticRegression,Predict Hamming,Negative Predictive Value,0.933127,1,lr
PlantPseAAC,PCC_LogisticRegression,Predict Hamming,Recall Score,0.324095,1,lr
PlantPseAAC,PCC_LogisticRegression,Predict Hamming,Markedness,0.593134,1,lr
PlantPseAAC,PCC_LogisticRegression,Predict Hamming,Fmeasure Score,0.271844,1,lr
PlantPseAAC,PCC_LogisticRegression,Predict Hamming,Informedness,0.568489,1,lr
PlantPseAAC,PCC_LogisticRegression,Predict Hamming,Macro F1,0.202272,1,lr
PlantPseAAC,PCC_LogisticRegression,Predict Hamming,Micro F1,0.308226,1,lr
PlantPseAAC,PCC_LogisticRegression,Predict Subset,Hamming Accuracy,0.870991,1,lr
PlantPseAAC,PCC_LogisticRegression,Predict Subset,Subset Accuracy,0.165601,1,lr
PlantPseAAC,PCC_LogisticRegression,Predict Subset,Precision Score,0.253646,1,lr
PlantPseAAC,PCC_LogisticRegression,Predict Subset,Negative Predictive Value,0.932901,1,lr
PlantPseAAC,PCC_LogisticRegression,Predict Subset,Recall Score,0.323054,1,lr
PlantPseAAC,PCC_LogisticRegression,Predict Subset,Markedness,0.593273,1,lr
PlantPseAAC,PCC_LogisticRegression,Predict Subset,Fmeasure Score,0.272001,1,lr
PlantPseAAC,PCC_LogisticRegression,Predict Subset,Informedness,0.567004,1,lr
PlantPseAAC,PCC_LogisticRegression,Predict Subset,Macro F1,0.200394,1,lr
PlantPseAAC,PCC_LogisticRegression,Predict Subset,Micro F1,0.305399,1,lr
PlantPseAAC,PCC_LogisticRegression,Predict Precision,Hamming Accuracy,0.87841,1,lr
PlantPseAAC,PCC_LogisticRegression,Predict Precision,Subset Accuracy,0.27814,1,lr
PlantPseAAC,PCC_LogisticRegression,Predict Precision,Precision Score,0.309846,1,lr
PlantPseAAC,PCC_LogisticRegression,Predict Precision,Negative Predictive Value,0.930099,1,lr
PlantPseAAC,PCC_LogisticRegression,Predict Precision,Recall Score,0.293994,1,lr
PlantPseAAC,PCC_LogisticRegression,Predict Precision,Markedness,0.619972,1,lr
PlantPseAAC,PCC_LogisticRegression,Predict Precision,Fmeasure Score,0.299278,1,lr
PlantPseAAC,PCC_LogisticRegression,Predict Precision,Informedness,0.552879,1,lr
PlantPseAAC,PCC_LogisticRegression,Predict Precision,Macro F1,0.16401,1,lr
PlantPseAAC,PCC_LogisticRegression,Predict Precision,Micro F1,0.298002,1,lr
PlantPseAAC,PCC_LogisticRegression,Predict NPV,Hamming Accuracy,0.165049,1,lr
PlantPseAAC,PCC_LogisticRegression,Predict NPV,Subset Accuracy,0.0,1,lr
PlantPseAAC,PCC_LogisticRegression,Predict NPV,Precision Score,0.093605,1,lr
PlantPseAAC,PCC_LogisticRegression,Predict NPV,Negative Predictive Value,0.950893,1,lr
PlantPseAAC,PCC_LogisticRegression,Predict NPV,Recall Score,0.954986,1,lr
PlantPseAAC,PCC_LogisticRegression,Predict NPV,Markedness,0.522249,1,lr
PlantPseAAC,PCC_LogisticRegression,Predict NPV,Fmeasure Score,0.169633,1,lr
PlantPseAAC,PCC_LogisticRegression,Predict NPV,Informedness,0.525856,1,lr
PlantPseAAC,PCC_LogisticRegression,Predict NPV,Macro F1,0.160291,1,lr
PlantPseAAC,PCC_LogisticRegression,Predict NPV,Micro F1,0.170485,1,lr
PlantPseAAC,PCC_LogisticRegression,Predict Recall,Hamming Accuracy,0.089899,1,lr
PlantPseAAC,PCC_LogisticRegression,Predict Recall,Subset Accuracy,0.0,1,lr
PlantPseAAC,PCC_LogisticRegression,Predict Recall,Precision Score,0.089899,1,lr
PlantPseAAC,PCC_LogisticRegression,Predict Recall,Negative Predictive Value,0.0,1,lr
PlantPseAAC,PCC_LogisticRegression,Predict Recall,Recall Score,1.0,1,lr
PlantPseAAC,PCC_LogisticRegression,Predict Recall,Markedness,0.044948,1,lr
PlantPseAAC,PCC_LogisticRegression,Predict Recall,Fmeasure Score,0.164179,1,lr
PlantPseAAC,PCC_LogisticRegression,Predict Recall,Informedness,0.5,1,lr
PlantPseAAC,PCC_LogisticRegression,Predict Recall,Macro F1,0.154059,1,lr
PlantPseAAC,PCC_LogisticRegression,Predict Recall,Micro F1,0.164957,1,lr
PlantPseAAC,PCC_LogisticRegression,Predict Markedness,Hamming Accuracy,0.877895,1,lr
