Dataset,Model,Predict Function of Model,Metric Function,Mean,Std,N
PlantPseAAC,BR_AdaBoostClassifier,Marginal Scores,Average Precision,0.5405546,0.01021546018542484,5
PlantPseAAC,BR_AdaBoostClassifier,Marginal Scores,Coverage Score,0.7744328,0.0034976839765765056,5
PlantPseAAC,BR_AdaBoostClassifier,Marginal Scores,One-Error Score,0.34256640000000005,0.013848045540797459,5
PlantPseAAC,BR_AdaBoostClassifier,Marginal Scores,Ranking Loss Score,0.7871781999999999,0.0034672562207024287,5
PlantPseAAC,BR_AdaBoostClassifier,Predict Fmeasure,Fmeasure Score,0.188228,0.0026849112648279472,5
PlantPseAAC,BR_AdaBoostClassifier,Predict Fmeasure,Hamming Accuracy,0.2499816,0.013845037533354677,5
PlantPseAAC,BR_AdaBoostClassifier,Predict Fmeasure,Informedness,0.5298616,0.004011584387745051,5
PlantPseAAC,BR_AdaBoostClassifier,Predict Fmeasure,Macro F1,0.159336,0.0007326387240652888,5
PlantPseAAC,BR_AdaBoostClassifier,Predict Fmeasure,Markedness,0.5112726000000001,0.010954541286608034,5
PlantPseAAC,BR_AdaBoostClassifier,Predict Fmeasure,Micro F1,0.1878668,0.0024625158273603137,5
PlantPseAAC,BR_AdaBoostClassifier,Predict Fmeasure,Negative Predictive Value,0.9175115999999999,0.020404956047490028,5
PlantPseAAC,BR_AdaBoostClassifier,Predict Fmeasure,Precision Score,0.10503339999999999,0.0016921239020828243,5
PlantPseAAC,BR_AdaBoostClassifier,Predict Fmeasure,Recall Score,0.9651023999999999,0.0021356908250024878,5
PlantPseAAC,BR_AdaBoostClassifier,Predict Fmeasure,Subset Accuracy,0.0,0.0,5
PlantPseAAC,BR_AdaBoostClassifier,Predict Hamming,Fmeasure Score,0.1966704,0.008754345309616237,5
PlantPseAAC,BR_AdaBoostClassifier,Predict Hamming,Hamming Accuracy,0.8955339999999999,0.0021738568260122318,5
PlantPseAAC,BR_AdaBoostClassifier,Predict Hamming,Informedness,0.5551794,0.012776600831207045,5
PlantPseAAC,BR_AdaBoostClassifier,Predict Hamming,Macro F1,0.1682544,0.02640026308202249,5
PlantPseAAC,BR_AdaBoostClassifier,Predict Hamming,Markedness,0.5593011999999999,0.004822276609652431,5
PlantPseAAC,BR_AdaBoostClassifier,Predict Hamming,Micro F1,0.2643104,0.010266925698572075,5
PlantPseAAC,BR_AdaBoostClassifier,Predict Hamming,Negative Predictive Value,0.9259488000000001,0.0008658037883954877,5
PlantPseAAC,BR_AdaBoostClassifier,Predict Hamming,Precision Score,0.1926548,0.008846013944144571,5
PlantPseAAC,BR_AdaBoostClassifier,Predict Hamming,Recall Score,0.21360739999999998,0.008950003340781503,5
PlantPseAAC,BR_AdaBoostClassifier,Predict Hamming,Subset Accuracy,0.1472084,0.011710902902850834,5
PlantPseAAC,BR_AdaBoostClassifier,Predict Informedness,Fmeasure Score,0.23351899999999998,0.0023143987340127916,5
PlantPseAAC,BR_AdaBoostClassifier,Predict Informedness,Hamming Accuracy,0.4712686,0.004274134567371487,5
PlantPseAAC,BR_AdaBoostClassifier,Predict Informedness,Informedness,0.5643278,0.006752834975030847,5
PlantPseAAC,BR_AdaBoostClassifier,Predict Informedness,Macro F1,0.1742604,0.002628891078002287,5
PlantPseAAC,BR_AdaBoostClassifier,Predict Informedness,Markedness,0.555461,0.001450109995827917,5
PlantPseAAC,BR_AdaBoostClassifier,Predict Informedness,Micro F1,0.2323486,0.0022573739831937526,5
PlantPseAAC,BR_AdaBoostClassifier,Predict Informedness,Negative Predictive Value,0.975229,0.001729843779073711,5
PlantPseAAC,BR_AdaBoostClassifier,Predict Informedness,Precision Score,0.1356932,0.0014297626376430438,5
PlantPseAAC,BR_AdaBoostClassifier,Predict Informedness,Recall Score,0.8932662,0.00838309785819063,5
PlantPseAAC,BR_AdaBoostClassifier,Predict Informedness,Subset Accuracy,0.0,0.0,5
PlantPseAAC,BR_AdaBoostClassifier,Predict Markedness,Fmeasure Score,0.19037500000000002,0.0028978101214537865,5
PlantPseAAC,BR_AdaBoostClassifier,Predict Markedness,Hamming Accuracy,0.23830800000000002,0.00658558300380461,5
PlantPseAAC,BR_AdaBoostClassifier,Predict Markedness,Informedness,0.5266262,0.00682448080076424,5
PlantPseAAC,BR_AdaBoostClassifier,Predict Markedness,Macro F1,0.1580062,0.0014233684343837442,5
PlantPseAAC,BR_AdaBoostClassifier,Predict Markedness,Markedness,0.5429288,0.002077680124561997,5
PlantPseAAC,BR_AdaBoostClassifier,Predict Markedness,Micro F1,0.184722,0.0015657908544885431,5
PlantPseAAC,BR_AdaBoostClassifier,Predict Markedness,Negative Predictive Value,0.9768948,0.0019253687179343437,5
