Dataset,Model,Predict Function of Model,Metric Function,Score,Seed,Estimator Tag
VirusGO_sparse,PCC_AdaBoostClassifier,Predict Hamming,Hamming Accuracy,0.95111,1,adaboost
VirusGO_sparse,PCC_AdaBoostClassifier,Predict Hamming,Subset Accuracy,0.80238,1,adaboost
VirusGO_sparse,PCC_AdaBoostClassifier,Predict Hamming,Precision Score,0.878331,1,adaboost
VirusGO_sparse,PCC_AdaBoostClassifier,Predict Hamming,Negative Predictive Value,0.967805,1,adaboost
VirusGO_sparse,PCC_AdaBoostClassifier,Predict Hamming,Recall Score,0.881744,1,adaboost
VirusGO_sparse,PCC_AdaBoostClassifier,Predict Hamming,Markedness,0.92307,1,adaboost
VirusGO_sparse,PCC_AdaBoostClassifier,Predict Hamming,Fmeasure Score,0.872284,1,adaboost
VirusGO_sparse,PCC_AdaBoostClassifier,Predict Hamming,Informedness,0.936129,1,adaboost
VirusGO_sparse,PCC_AdaBoostClassifier,Predict Hamming,Macro F1,0.892456,1,adaboost
VirusGO_sparse,PCC_AdaBoostClassifier,Predict Hamming,Micro F1,0.876599,1,adaboost
VirusGO_sparse,PCC_AdaBoostClassifier,Predict Subset,Hamming Accuracy,0.946149,1,adaboost
VirusGO_sparse,PCC_AdaBoostClassifier,Predict Subset,Subset Accuracy,0.782379,1,adaboost
VirusGO_sparse,PCC_AdaBoostClassifier,Predict Subset,Precision Score,0.869283,1,adaboost
VirusGO_sparse,PCC_AdaBoostClassifier,Predict Subset,Negative Predictive Value,0.964298,1,adaboost
VirusGO_sparse,PCC_AdaBoostClassifier,Predict Subset,Recall Score,0.872062,1,adaboost
VirusGO_sparse,PCC_AdaBoostClassifier,Predict Subset,Markedness,0.916792,1,adaboost
VirusGO_sparse,PCC_AdaBoostClassifier,Predict Subset,Fmeasure Score,0.86085,1,adaboost
VirusGO_sparse,PCC_AdaBoostClassifier,Predict Subset,Informedness,0.928363,1,adaboost
VirusGO_sparse,PCC_AdaBoostClassifier,Predict Subset,Macro F1,0.881438,1,adaboost
VirusGO_sparse,PCC_AdaBoostClassifier,Predict Subset,Micro F1,0.86472,1,adaboost
VirusGO_sparse,PCC_AdaBoostClassifier,Predict Precision,Hamming Accuracy,0.926746,1,adaboost
VirusGO_sparse,PCC_AdaBoostClassifier,Predict Precision,Subset Accuracy,0.700239,1,adaboost
VirusGO_sparse,PCC_AdaBoostClassifier,Predict Precision,Precision Score,0.889522,1,adaboost
VirusGO_sparse,PCC_AdaBoostClassifier,Predict Precision,Negative Predictive Value,0.93419,1,adaboost
VirusGO_sparse,PCC_AdaBoostClassifier,Predict Precision,Recall Score,0.792421,1,adaboost
VirusGO_sparse,PCC_AdaBoostClassifier,Predict Precision,Markedness,0.911858,1,adaboost
VirusGO_sparse,PCC_AdaBoostClassifier,Predict Precision,Fmeasure Score,0.823969,1,adaboost
VirusGO_sparse,PCC_AdaBoostClassifier,Predict Precision,Informedness,0.884753,1,adaboost
VirusGO_sparse,PCC_AdaBoostClassifier,Predict Precision,Macro F1,0.819234,1,adaboost
VirusGO_sparse,PCC_AdaBoostClassifier,Predict Precision,Micro F1,0.803871,1,adaboost
VirusGO_sparse,PCC_AdaBoostClassifier,Predict NPV,Hamming Accuracy,0.369764,1,adaboost
VirusGO_sparse,PCC_AdaBoostClassifier,Predict NPV,Subset Accuracy,0.0,1,adaboost
VirusGO_sparse,PCC_AdaBoostClassifier,Predict NPV,Precision Score,0.243716,1,adaboost
VirusGO_sparse,PCC_AdaBoostClassifier,Predict NPV,Negative Predictive Value,1.0,1,adaboost
VirusGO_sparse,PCC_AdaBoostClassifier,Predict NPV,Recall Score,1.0,1,adaboost
VirusGO_sparse,PCC_AdaBoostClassifier,Predict NPV,Markedness,0.621857,1,adaboost
VirusGO_sparse,PCC_AdaBoostClassifier,Predict NPV,Fmeasure Score,0.384493,1,adaboost
VirusGO_sparse,PCC_AdaBoostClassifier,Predict NPV,Informedness,0.587418,1,adaboost
VirusGO_sparse,PCC_AdaBoostClassifier,Predict NPV,Macro F1,0.414293,1,adaboost
VirusGO_sparse,PCC_AdaBoostClassifier,Predict NPV,Micro F1,0.391344,1,adaboost
VirusGO_sparse,PCC_AdaBoostClassifier,Predict Recall,Hamming Accuracy,0.203094,1,adaboost
VirusGO_sparse,PCC_AdaBoostClassifier,Predict Recall,Subset Accuracy,0.0,1,adaboost
VirusGO_sparse,PCC_AdaBoostClassifier,Predict Recall,Precision Score,0.203094,1,adaboost
VirusGO_sparse,PCC_AdaBoostClassifier,Predict Recall,Negative Predictive Value,0.0,1,adaboost
VirusGO_sparse,PCC_AdaBoostClassifier,Predict Recall,Recall Score,1.0,1,adaboost
VirusGO_sparse,PCC_AdaBoostClassifier,Predict Recall,Markedness,0.101548,1,adaboost
