Dataset,Base Model,Predict Func,Average Precision,Coverage Score,Fmeasure Score,Hamming Accuracy,Informedness,Macro F1,Markedness,Micro F1,Negative Predictive Value,One-Error Score,Precision Score,Ranking Loss Score,Recall Score,Subset Accuracy
VirusGO_sparse,BR_AdaBoostClassifier,Marginal Scores,93.31 ± 0.23,91.55 ± 0.16,,,,,,,,88.70 ± 0.57,,96.12 ± 0.12,,
VirusGO_sparse,BR_AdaBoostClassifier,Predict Fmeasure,,,65.95 ± 0.37,80.18 ± 0.18,81.71 ± 0.34,76.78 ± 1.91,75.56 ± 0.19,66.33 ± 0.30,98.70 ± 0.25,,52.43 ± 0.25,,96.44 ± 0.68,13.96 ± 0.56
VirusGO_sparse,BR_AdaBoostClassifier,Predict Hamming,,,87.83 ± 0.39,94.99 ± 0.34,93.25 ± 0.53,87.68 ± 1.47,92.47 ± 0.20,87.80 ± 0.70,97.05 ± 0.19,,87.89 ± 0.29,,89.61 ± 0.78,79.90 ± 1.85
VirusGO_sparse,BR_AdaBoostClassifier,Predict Informedness,,,67.04 ± 0.47,81.24 ± 0.32,82.56 ± 0.61,77.66 ± 2.08,76.30 ± 0.31,67.44 ± 0.42,98.55 ± 0.17,,54.05 ± 0.54,,95.91 ± 0.59,16.20 ± 1.15
VirusGO_sparse,BR_AdaBoostClassifier,Predict Markedness,,,76.77 ± 0.84,88.23 ± 0.31,87.33 ± 0.71,81.61 ± 1.46,84.19 ± 0.57,75.77 ± 0.64,97.23 ± 0.33,,71.15 ± 1.01,,90.72 ± 0.89,46.19 ± 1.83
VirusGO_sparse,BR_AdaBoostClassifier,Predict NPV,,,38.43 ± 0.02,36.96 ± 0.01,59.08 ± 0.06,36.38 ± 0.35,62.17 ± 0.01,39.13 ± 0.02,100.00 ± 0.00,,24.35 ± 0.02,,100.00 ± 0.00,0.00 ± 0.00
VirusGO_sparse,BR_AdaBoostClassifier,Predict Precision,,,82.23 ± 0.59,92.61 ± 0.20,88.59 ± 0.45,81.57 ± 1.40,91.04 ± 0.35,80.11 ± 0.55,93.39 ± 0.13,,88.70 ± 0.57,,79.13 ± 0.60,70.04 ± 0.67
VirusGO_sparse,BR_AdaBoostClassifier,Predict Recall,,,33.16 ± 0.02,20.29 ± 0.01,50.00 ± 0.00,30.52 ± 0.09,10.15 ± 0.01,33.71 ± 0.02,0.00 ± 0.00,,20.29 ± 0.01,,100.00 ± 0.00,0.00 ± 0.00
VirusGO_sparse,BR_AdaBoostClassifier,Predict Subset,,,87.83 ± 0.39,94.99 ± 0.34,93.25 ± 0.53,87.68 ± 1.47,92.47 ± 0.20,87.80 ± 0.70,97.05 ± 0.19,,87.89 ± 0.29,,89.61 ± 0.78,79.90 ± 1.85
VirusGO_sparse,BR_LogisticRegression,Marginal Scores,93.86 ± 0.25,91.98 ± 0.14,,,,,,,,89.36 ± 0.58,,96.46 ± 0.15,,
VirusGO_sparse,BR_LogisticRegression,Predict Fmeasure,,,86.33 ± 0.82,94.69 ± 0.26,91.80 ± 0.35,83.13 ± 1.99,91.46 ± 0.44,87.05 ± 0.68,97.09 ± 0.15,,85.83 ± 0.75,,89.09 ± 0.93,76.05 ± 0.78
VirusGO_sparse,BR_LogisticRegression,Predict Hamming,,,86.70 ± 0.87,94.88 ± 0.30,91.45 ± 0.64,84.10 ± 1.68,91.99 ± 0.44,87.33 ± 0.80,96.66 ± 0.28,,87.31 ± 0.70,,88.02 ± 1.06,78.07 ± 1.14
VirusGO_sparse,BR_LogisticRegression,Predict Informedness,,,88.35 ± 0.80,94.79 ± 0.43,92.46 ± 0.28,83.81 ± 2.19,92.48 ± 0.52,87.59 ± 1.01,97.46 ± 0.21,,87.50 ± 0.83,,91.60 ± 0.73,77.49 ± 1.18
VirusGO_sparse,BR_LogisticRegression,Predict Markedness,,,86.53 ± 0.71,94.83 ± 0.29,91.20 ± 0.62,83.27 ± 1.35,92.08 ± 0.34,87.03 ± 0.79,96.40 ± 0.26,,87.76 ± 0.54,,87.06 ± 0.95,78.84 ± 0.73
VirusGO_sparse,BR_LogisticRegression,Predict NPV,,,38.27 ± 0.02,36.80 ± 0.01,58.74 ± 0.37,33.47 ± 0.31,61.89 ± 0.01,38.98 ± 0.02,99.52 ± 0.00,,24.25 ± 0.02,,99.52 ± 0.00,0.00 ± 0.00
VirusGO_sparse,BR_LogisticRegression,Predict Precision,,,82.74 ± 0.48,92.83 ± 0.20,87.42 ± 0.75,79.45 ± 1.61,91.44 ± 0.35,80.70 ± 0.52,93.52 ± 0.12,,89.36 ± 0.58,,79.53 ± 0.45,70.13 ± 0.42
VirusGO_sparse,BR_LogisticRegression,Predict Recall,,,33.16 ± 0.02,20.29 ± 0.01,50.00 ± 0.00,30.52 ± 0.09,10.15 ± 0.01,33.71 ± 0.02,0.00 ± 0.00,,20.29 ± 0.01,,100.00 ± 0.00,0.00 ± 0.00
VirusGO_sparse,BR_LogisticRegression,Predict Subset,,,86.70 ± 0.87,94.88 ± 0.30,91.45 ± 0.64,84.10 ± 1.68,91.99 ± 0.44,87.33 ± 0.80,96.66 ± 0.28,,87.31 ± 0.70,,88.02 ± 1.06,78.07 ± 1.14
VirusGO_sparse,BR_RandomForestClassifier,Marginal Scores,94.35 ± 0.37,92.25 ± 0.30,,,,,,,,90.34 ± 0.73,,96.63 ± 0.25,,
VirusGO_sparse,BR_RandomForestClassifier,Predict Fmeasure,,,87.16 ± 0.50,93.46 ± 0.20,92.81 ± 0.53,80.08 ± 1.59,91.27 ± 0.31,85.50 ± 0.37,98.47 ± 0.15,,84.07 ± 0.53,,94.26 ± 0.55,72.53 ± 0.65
VirusGO_sparse,BR_RandomForestClassifier,Predict Hamming,,,86.34 ± 0.88,94.75 ± 0.42,90.05 ± 0.41,83.16 ± 1.22,92.11 ± 0.48,86.58 ± 1.15,96.03 ± 0.30,,88.20 ± 0.67,,86.35 ± 0.89,79.23 ± 1.65
VirusGO_sparse,BR_RandomForestClassifier,Predict Informedness,,,87.98 ± 0.36,93.83 ± 0.21,92.90 ± 0.44,81.96 ± 1.63,91.63 ± 0.19,86.17 ± 0.50,98.33 ± 0.26,,84.93 ± 0.33,,94.69 ± 0.72,72.93 ± 0.60
VirusGO_sparse,BR_RandomForestClassifier,Predict Markedness,,,88.06 ± 0.85,94.37 ± 0.29,91.40 ± 0.54,82.07 ± 2.01,93.07 ± 0.50,86.35 ± 0.84,96.79 ± 0.35,,89.36 ± 0.68,,89.20 ± 1.03,79.82 ± 1.38
VirusGO_sparse,BR_RandomForestClassifier,Predict NPV,,,38.33 ± 0.09,36.86 ± 0.09,58.55 ± 0.35,35.83 ± 1.07,62.00 ± 0.16,39.04 ± 0.08,99.71 ± 0.26,,24.29 ± 0.06,,99.71 ± 0.26,0.00 ± 0.00
VirusGO_sparse,BR_RandomForestClassifier,Predict Precision,,,83.89 ± 0.77,93.15 ± 0.26,88.44 ± 0.40,81.53 ± 1.21,92.03 ± 0.45,81.59 ± 0.72,93.72 ± 0.16,,90.34 ± 0.73,,80.78 ± 0.79,71.68 ± 0.86
VirusGO_sparse,BR_RandomForestClassifier,Predict Recall,,,33.16 ± 0.02,20.29 ± 0.01,50.00 ± 0.00,30.52 ± 0.09,10.15 ± 0.01,33.71 ± 0.02,0.00 ± 0.00,,20.29 ± 0.01,,100.00 ± 0.00,0.00 ± 0.00
VirusGO_sparse,BR_RandomForestClassifier,Predict Subset,,,86.27 ± 0.93,94.74 ± 0.44,90.01 ± 0.43,83.09 ± 1.13,92.06 ± 0.53,86.54 ± 1.20,96.02 ± 0.32,,88.10 ± 0.77,,86.31 ± 0.92,79.23 ± 1.65
VirusGO_sparse,PCC_AdaBoostClassifier,Marginal Scores,93.45 ± 0.32,91.52 ± 0.23,,,,,,,,88.99 ± 0.74,,96.12 ± 0.23,,
