Dataset,Model,Predict Function of Model,Metric Function,Mean,Std,N
VirusGO_sparse,BR_AdaBoostClassifier,Marginal Scores,Average Precision,0.9330854000000001,0.0022591881949054434,5
VirusGO_sparse,BR_AdaBoostClassifier,Marginal Scores,Coverage Score,0.9155238000000001,0.0015617924638056573,5
VirusGO_sparse,BR_AdaBoostClassifier,Marginal Scores,One-Error Score,0.8869507999999999,0.005652945179284853,5
VirusGO_sparse,BR_AdaBoostClassifier,Marginal Scores,Ranking Loss Score,0.9611826000000001,0.001219819166925991,5
VirusGO_sparse,BR_AdaBoostClassifier,Predict Fmeasure,Fmeasure Score,0.659459,0.003733791437667604,5
VirusGO_sparse,BR_AdaBoostClassifier,Predict Fmeasure,Hamming Accuracy,0.8018487999999999,0.0017947873690217478,5
VirusGO_sparse,BR_AdaBoostClassifier,Predict Fmeasure,Informedness,0.8171318,0.003368286760357569,5
VirusGO_sparse,BR_AdaBoostClassifier,Predict Fmeasure,Macro F1,0.7678268,0.019089591802864722,5
VirusGO_sparse,BR_AdaBoostClassifier,Predict Fmeasure,Markedness,0.7556428000000001,0.0018921214813008246,5
VirusGO_sparse,BR_AdaBoostClassifier,Predict Fmeasure,Micro F1,0.6632838000000001,0.0030122071143930153,5
VirusGO_sparse,BR_AdaBoostClassifier,Predict Fmeasure,Negative Predictive Value,0.986965,0.0024734653828182044,5
VirusGO_sparse,BR_AdaBoostClassifier,Predict Fmeasure,Precision Score,0.5243206,0.002534445166106425,5
VirusGO_sparse,BR_AdaBoostClassifier,Predict Fmeasure,Recall Score,0.9644280000000001,0.0067577403767827724,5
VirusGO_sparse,BR_AdaBoostClassifier,Predict Fmeasure,Subset Accuracy,0.139573,0.005620367603635907,5
VirusGO_sparse,BR_AdaBoostClassifier,Predict Hamming,Fmeasure Score,0.8782808,0.003902290314674224,5
VirusGO_sparse,BR_AdaBoostClassifier,Predict Hamming,Hamming Accuracy,0.9499202,0.0034108384892867502,5
VirusGO_sparse,BR_AdaBoostClassifier,Predict Hamming,Informedness,0.9325365999999999,0.005313399410923305,5
VirusGO_sparse,BR_AdaBoostClassifier,Predict Hamming,Macro F1,0.8767949999999999,0.0147144696982256,5
VirusGO_sparse,BR_AdaBoostClassifier,Predict Hamming,Markedness,0.9246719999999999,0.0020234286495945317,5
VirusGO_sparse,BR_AdaBoostClassifier,Predict Hamming,Micro F1,0.8780322,0.0070337943316534,5
VirusGO_sparse,BR_AdaBoostClassifier,Predict Hamming,Negative Predictive Value,0.9704722,0.0018541896343146982,5
VirusGO_sparse,BR_AdaBoostClassifier,Predict Hamming,Precision Score,0.8788718,0.0028803106082504037,5
VirusGO_sparse,BR_AdaBoostClassifier,Predict Hamming,Recall Score,0.8960622,0.007815227488691586,5
VirusGO_sparse,BR_AdaBoostClassifier,Predict Hamming,Subset Accuracy,0.7990465999999999,0.018473321609824272,5
VirusGO_sparse,BR_AdaBoostClassifier,Predict Informedness,Fmeasure Score,0.6704017999999999,0.0047273814845006906,5
VirusGO_sparse,BR_AdaBoostClassifier,Predict Informedness,Hamming Accuracy,0.8123726,0.0032379368122308788,5
