Dataset,Base Model,Predict Func,F-beta Score,Hamming Loss,Markedness,Negative Predictive Value,Precision Score,Recall Score,Subset Accuracy,All
Water-quality,AdaBoostClassifier,Predict Fmeasure,0.52398,0.40499,0.67005,0.96383,0.37626,0.97792,0.0,0.5595757142857143
Water-quality,AdaBoostClassifier,Predict Hamming Loss,0.53439,0.69946,0.6715,0.74523,0.594,0.53923,0.01226,0.5422957142857142
Water-quality,AdaBoostClassifier,Predict Mar,0.042,0.63632,0.81816,0.6653,0.03329,0.06227,0.00566,0.3232857142857143
Water-quality,AdaBoostClassifier,Predict Neg,0.51248,0.36233,0.68116,1.0,0.36233,1.0,0.0,0.559757142857143
Water-quality,AdaBoostClassifier,Predict Pre,0.24766,0.66705,0.68487,0.66408,0.70566,0.15842,0.01037,0.4483014285714286
Water-quality,AdaBoostClassifier,Predict Recall,0.51248,0.36233,0.68116,1.0,0.36233,1.0,0.0,0.559757142857143
Water-quality,AdaBoostClassifier,Predict Subset,0.47919,0.6936,0.67765,0.72881,0.58402,0.4656,0.01321,0.5202971428571429
Water-quality,LogisticRegression,Predict Fmeasure,0.51192,0.69508,0.67245,0.73134,0.61357,0.48489,0.00755,0.5309714285714285
Water-quality,LogisticRegression,Predict Hamming Loss,0.47475,0.70613,0.68747,0.72545,0.63629,0.42565,0.01698,0.5246742857142858
Water-quality,LogisticRegression,Predict Mar,0.03091,0.63511,0.81755,0.65667,0.02466,0.04623,0.00566,0.3166842857142857
Water-quality,LogisticRegression,Predict Neg,0.51248,0.36233,0.68116,1.0,0.36233,1.0,0.0,0.559757142857143
Water-quality,LogisticRegression,Predict Pre,0.24526,0.66678,0.68385,0.66393,0.70377,0.15671,0.01132,0.44737428571428567
Water-quality,LogisticRegression,Predict Recall,0.51248,0.36233,0.68116,1.0,0.36233,1.0,0.0,0.559757142857143
Water-quality,LogisticRegression,Predict Subset,0.35399,0.68915,0.73469,0.7047,0.50242,0.32369,0.01604,0.4749542857142857
All,,,0.39242642857142856,0.5673564285714285,0.7030628571428571,0.8035242857142857,0.44451857142857143,0.5457578571428571,0.007075,0.4948173469387755
