Dataset,Model,Predict Function of Model,Metric Function,Mean,Std,N
chest_xray_nih__resnet,BR_AdaBoostClassifier,Marginal Scores,Average Precision,0.8305372,0.0008162638666510025,5
chest_xray_nih__resnet,BR_AdaBoostClassifier,Marginal Scores,Coverage Score,0.84368,0.0005355254429063074,5
chest_xray_nih__resnet,BR_AdaBoostClassifier,Marginal Scores,One-Error Score,0.30704760000000003,0.0013973806925816517,5
chest_xray_nih__resnet,BR_AdaBoostClassifier,Marginal Scores,Ranking Loss Score,0.899699,0.00046205465044732924,5
chest_xray_nih__resnet,BR_AdaBoostClassifier,Predict Fmeasure,Fmeasure Score,0.1712812,3.8232185393975924e-05,5
chest_xray_nih__resnet,BR_AdaBoostClassifier,Predict Fmeasure,Hamming Accuracy,0.1059912,0.0002321781643479891,5
chest_xray_nih__resnet,BR_AdaBoostClassifier,Predict Fmeasure,Informedness,0.5004350000000001,0.00011011584808736744,5
chest_xray_nih__resnet,BR_AdaBoostClassifier,Predict Fmeasure,Macro F1,0.1832738,9.679876032265236e-06,5
chest_xray_nih__resnet,BR_AdaBoostClassifier,Predict Fmeasure,Markedness,0.056154800000000005,0.0009406969224994878,5
chest_xray_nih__resnet,BR_AdaBoostClassifier,Predict Fmeasure,Micro F1,0.1903476,3.6432128677860596e-05,5
chest_xray_nih__resnet,BR_AdaBoostClassifier,Predict Fmeasure,Negative Predictive Value,0.007111000000000001,0.0018510795498843373,5
chest_xray_nih__resnet,BR_AdaBoostClassifier,Predict Fmeasure,Precision Score,0.1051988,2.9439769020836557e-05,5
chest_xray_nih__resnet,BR_AdaBoostClassifier,Predict Fmeasure,Recall Score,0.5463274,1.0406728592593362e-05,5
chest_xray_nih__resnet,BR_AdaBoostClassifier,Predict Fmeasure,Subset Accuracy,0.0,0.0,5
chest_xray_nih__resnet,BR_AdaBoostClassifier,Predict Hamming,Fmeasure Score,0.47260840000000004,0.0010607333783755747,5
chest_xray_nih__resnet,BR_AdaBoostClassifier,Predict Hamming,Hamming Accuracy,0.893493,0.0001433492239253891,5
chest_xray_nih__resnet,BR_AdaBoostClassifier,Predict Hamming,Informedness,0.5459346,0.0005617448709156042,5
chest_xray_nih__resnet,BR_AdaBoostClassifier,Predict Hamming,Macro F1,0.16614400000000001,0.0020906988066194503,5
chest_xray_nih__resnet,BR_AdaBoostClassifier,Predict Hamming,Markedness,0.6986356,0.0005204548971813193,5
chest_xray_nih__resnet,BR_AdaBoostClassifier,Predict Hamming,Micro F1,0.20211260000000003,0.0011820064720634957,5
chest_xray_nih__resnet,BR_AdaBoostClassifier,Predict Hamming,Negative Predictive Value,0.9058078,0.00010668739381948512,5
chest_xray_nih__resnet,BR_AdaBoostClassifier,Predict Hamming,Precision Score,0.491464,0.0010696541497138335,5
chest_xray_nih__resnet,BR_AdaBoostClassifier,Predict Hamming,Recall Score,0.46587860000000003,0.0011494230291759435,5
chest_xray_nih__resnet,BR_AdaBoostClassifier,Predict Hamming,Subset Accuracy,0.4362876,0.0011782484033513521,5
chest_xray_nih__resnet,BR_AdaBoostClassifier,Predict Informedness,Fmeasure Score,0.2475002,0.0007894515184607599,5
chest_xray_nih__resnet,BR_AdaBoostClassifier,Predict Informedness,Hamming Accuracy,0.5257054,0.0032014708026155605,5
chest_xray_nih__resnet,BR_AdaBoostClassifier,Predict Informedness,Informedness,0.613672,0.001996050099571735,5
chest_xray_nih__resnet,BR_AdaBoostClassifier,Predict Informedness,Macro F1,0.2374302,0.001676506397243981,5
chest_xray_nih__resnet,BR_AdaBoostClassifier,Predict Informedness,Markedness,0.5766557999999999,0.00036317860619810275,5
chest_xray_nih__resnet,BR_AdaBoostClassifier,Predict Informedness,Micro F1,0.2829412,0.0013888603961521603,5
chest_xray_nih__resnet,BR_AdaBoostClassifier,Predict Informedness,Negative Predictive Value,0.9760662,0.00022270990099223606,5
chest_xray_nih__resnet,BR_AdaBoostClassifier,Predict Informedness,Precision Score,0.17724520000000002,0.0006634283684015871,5
chest_xray_nih__resnet,BR_AdaBoostClassifier,Predict Informedness,Recall Score,0.4919652,0.0008370359609956928,5
chest_xray_nih__resnet,BR_AdaBoostClassifier,Predict Informedness,Subset Accuracy,0.0056652000000000004,0.0001929396278632254,5
chest_xray_nih__resnet,BR_AdaBoostClassifier,Predict Markedness,Fmeasure Score,0.229663,0.0007272152363640357,5
chest_xray_nih__resnet,BR_AdaBoostClassifier,Predict Markedness,Hamming Accuracy,0.41072600000000004,0.002409529310882112,5
chest_xray_nih__resnet,BR_AdaBoostClassifier,Predict Markedness,Informedness,0.5764084,0.0008568017857124398,5
chest_xray_nih__resnet,BR_AdaBoostClassifier,Predict Markedness,Macro F1,0.20958179999999998,0.0006341306647687114,5
chest_xray_nih__resnet,BR_AdaBoostClassifier,Predict Markedness,Markedness,0.580291,0.0003639656577205901,5
chest_xray_nih__resnet,BR_AdaBoostClassifier,Predict Markedness,Micro F1,0.24014220000000003,0.0006254468002955979,5
chest_xray_nih__resnet,BR_AdaBoostClassifier,Predict Markedness,Negative Predictive Value,0.9799066,0.00029203732638136213,5
chest_xray_nih__resnet,BR_AdaBoostClassifier,Predict Markedness,Precision Score,0.1806754,0.0008268913471551109,5
chest_xray_nih__resnet,BR_AdaBoostClassifier,Predict Markedness,Recall Score,0.4894274,0.0007798527425097495,5
chest_xray_nih__resnet,BR_AdaBoostClassifier,Predict Markedness,Subset Accuracy,0.0372722,0.0005304966540893532,5
chest_xray_nih__resnet,BR_AdaBoostClassifier,Predict NPV,Fmeasure Score,0.18828419999999998,0.00010763921218589859,5
chest_xray_nih__resnet,BR_AdaBoostClassifier,Predict NPV,Hamming Accuracy,0.2273486,0.00011136785891809024,5
chest_xray_nih__resnet,BR_AdaBoostClassifier,Predict NPV,Informedness,0.5445978,0.0013694041404932412,5
chest_xray_nih__resnet,BR_AdaBoostClassifier,Predict NPV,Macro F1,0.1937386,0.00015604582660231587,5
chest_xray_nih__resnet,BR_AdaBoostClassifier,Predict NPV,Markedness,0.5537702,0.0002524642548956136,5
chest_xray_nih__resnet,BR_AdaBoostClassifier,Predict NPV,Micro F1,0.21164719999999998,0.00011094683411436989,5
chest_xray_nih__resnet,BR_AdaBoostClassifier,Predict NPV,Negative Predictive Value,0.9889979999999999,0.0004432792573536539,5
chest_xray_nih__resnet,BR_AdaBoostClassifier,Predict NPV,Precision Score,0.1185418,6.321154957758598e-05,5
chest_xray_nih__resnet,BR_AdaBoostClassifier,Predict NPV,Recall Score,0.5399834,0.00036409106003857994,5
chest_xray_nih__resnet,BR_AdaBoostClassifier,Predict NPV,Subset Accuracy,0.0,0.0,5
chest_xray_nih__resnet,BR_AdaBoostClassifier,Predict Precision,Fmeasure Score,0.24492560000000002,0.0012773125302759758,5
chest_xray_nih__resnet,BR_AdaBoostClassifier,Predict Precision,Hamming Accuracy,0.8466623999999999,0.00034914438274156193,5
chest_xray_nih__resnet,BR_AdaBoostClassifier,Predict Precision,Informedness,0.5859208,0.0012964986309286764,5
chest_xray_nih__resnet,BR_AdaBoostClassifier,Predict Precision,Macro F1,0.2599358,0.0022272943676128597,5
chest_xray_nih__resnet,BR_AdaBoostClassifier,Predict Precision,Markedness,0.6153991999999999,0.0007984041583058243,5
chest_xray_nih__resnet,BR_AdaBoostClassifier,Predict Precision,Micro F1,0.3335764,0.0014977649348279093,5
chest_xray_nih__resnet,BR_AdaBoostClassifier,Predict Precision,Negative Predictive Value,0.9237508,0.00019949862154913033,5
chest_xray_nih__resnet,BR_AdaBoostClassifier,Predict Precision,Precision Score,0.30704760000000003,0.0013973806925816517,5
chest_xray_nih__resnet,BR_AdaBoostClassifier,Predict Precision,Recall Score,0.21856179999999997,0.0012006230465887314,5
chest_xray_nih__resnet,BR_AdaBoostClassifier,Predict Precision,Subset Accuracy,0.147757,0.0009568030100287074,5
chest_xray_nih__resnet,BR_AdaBoostClassifier,Predict Recall,Fmeasure Score,0.1711482,8.366600265342903e-07,5
chest_xray_nih__resnet,BR_AdaBoostClassifier,Predict Recall,Hamming Accuracy,0.1050996,8.944271909996467e-07,5
chest_xray_nih__resnet,BR_AdaBoostClassifier,Predict Recall,Informedness,0.5,0.0,5
chest_xray_nih__resnet,BR_AdaBoostClassifier,Predict Recall,Macro F1,0.18323019999999998,7.293833011519352e-06,5
chest_xray_nih__resnet,BR_AdaBoostClassifier,Predict Recall,Markedness,0.0525498,8.366600265346013e-07,5
chest_xray_nih__resnet,BR_AdaBoostClassifier,Predict Recall,Micro F1,0.190197,3.0000000000030003e-06,5
chest_xray_nih__resnet,BR_AdaBoostClassifier,Predict Recall,Negative Predictive Value,0.0,0.0,5
chest_xray_nih__resnet,BR_AdaBoostClassifier,Predict Recall,Precision Score,0.1050996,8.944271909996467e-07,5
chest_xray_nih__resnet,BR_AdaBoostClassifier,Predict Recall,Recall Score,0.5463354,5.477225575428752e-07,5
chest_xray_nih__resnet,BR_AdaBoostClassifier,Predict Recall,Subset Accuracy,0.0,0.0,5
chest_xray_nih__resnet,BR_AdaBoostClassifier,Predict Subset,Fmeasure Score,0.47260840000000004,0.0010607333783755747,5
chest_xray_nih__resnet,BR_AdaBoostClassifier,Predict Subset,Hamming Accuracy,0.893493,0.0001433492239253891,5
chest_xray_nih__resnet,BR_AdaBoostClassifier,Predict Subset,Informedness,0.5459346,0.0005617448709156042,5
chest_xray_nih__resnet,BR_AdaBoostClassifier,Predict Subset,Macro F1,0.16614400000000001,0.0020906988066194503,5
chest_xray_nih__resnet,BR_AdaBoostClassifier,Predict Subset,Markedness,0.6986356,0.0005204548971813193,5
chest_xray_nih__resnet,BR_AdaBoostClassifier,Predict Subset,Micro F1,0.20211260000000003,0.0011820064720634957,5
chest_xray_nih__resnet,BR_AdaBoostClassifier,Predict Subset,Negative Predictive Value,0.9058078,0.00010668739381948512,5
chest_xray_nih__resnet,BR_AdaBoostClassifier,Predict Subset,Precision Score,0.491464,0.0010696541497138335,5
chest_xray_nih__resnet,BR_AdaBoostClassifier,Predict Subset,Recall Score,0.46587860000000003,0.0011494230291759435,5
chest_xray_nih__resnet,BR_AdaBoostClassifier,Predict Subset,Subset Accuracy,0.4362876,0.0011782484033513521,5
chest_xray_nih__resnet,BR_LogisticRegression,Marginal Scores,Average Precision,0.8482540000000001,0.0003779503935704131,5
chest_xray_nih__resnet,BR_LogisticRegression,Marginal Scores,Coverage Score,0.8574046,0.00015397175065575506,5
chest_xray_nih__resnet,BR_LogisticRegression,Marginal Scores,One-Error Score,0.3320668,0.0006155556026875343,5
chest_xray_nih__resnet,BR_LogisticRegression,Marginal Scores,Ranking Loss Score,0.9125551999999999,0.00014259628326148115,5
chest_xray_nih__resnet,BR_LogisticRegression,Predict Fmeasure,Fmeasure Score,0.5081442,0.0003899034495872096,5
chest_xray_nih__resnet,BR_LogisticRegression,Predict Fmeasure,Hamming Accuracy,0.8684752,0.00018770242406531033,5
chest_xray_nih__resnet,BR_LogisticRegression,Predict Fmeasure,Informedness,0.6078022,0.0005359684692218366,5
chest_xray_nih__resnet,BR_LogisticRegression,Predict Fmeasure,Macro F1,0.3020894,0.0013909553551426585,5
chest_xray_nih__resnet,BR_LogisticRegression,Predict Fmeasure,Markedness,0.7112109999999999,0.00013748636296011363,5
chest_xray_nih__resnet,BR_LogisticRegression,Predict Fmeasure,Micro F1,0.3677254,0.00039124327470256435,5
chest_xray_nih__resnet,BR_LogisticRegression,Predict Fmeasure,Negative Predictive Value,0.9280709999999999,5.4277066980485905e-05,5
chest_xray_nih__resnet,BR_LogisticRegression,Predict Fmeasure,Precision Score,0.4943516,0.0002666792080384349,5
chest_xray_nih__resnet,BR_LogisticRegression,Predict Fmeasure,Recall Score,0.5525021999999999,0.0005907247243852403,5
chest_xray_nih__resnet,BR_LogisticRegression,Predict Fmeasure,Subset Accuracy,0.3985628,0.000489533144945258,5
chest_xray_nih__resnet,BR_LogisticRegression,Predict Hamming,Fmeasure Score,0.4888592,0.0009083263180157146,5
chest_xray_nih__resnet,BR_LogisticRegression,Predict Hamming,Hamming Accuracy,0.8972328,0.00010730191051423632,5
chest_xray_nih__resnet,BR_LogisticRegression,Predict Hamming,Informedness,0.5536274,0.00046993808102773794,5
chest_xray_nih__resnet,BR_LogisticRegression,Predict Hamming,Macro F1,0.1870174,0.0013654359377136625,5
chest_xray_nih__resnet,BR_LogisticRegression,Predict Hamming,Markedness,0.7083958,0.0005156948710235215,5
chest_xray_nih__resnet,BR_LogisticRegression,Predict Hamming,Micro F1,0.22653620000000002,0.001551780171287154,5
chest_xray_nih__resnet,BR_LogisticRegression,Predict Hamming,Negative Predictive Value,0.9074842000000001,0.00010788975855012767,5
