Dataset,Model,Predict Function of Model,Metric Function,Mean,Std,N
chest_xray_nih__resnetae,BR_AdaBoostClassifier,Marginal Scores,Average Precision,0.7781916,0.00044581307742151574,5
chest_xray_nih__resnetae,BR_AdaBoostClassifier,Marginal Scores,Coverage Score,0.7967552,0.00042548525238839395,5
chest_xray_nih__resnetae,BR_AdaBoostClassifier,Marginal Scores,One-Error Score,0.2361224,0.0013538538695147186,5
chest_xray_nih__resnetae,BR_AdaBoostClassifier,Marginal Scores,Ranking Loss Score,0.8553376,0.00042179888572633616,5
chest_xray_nih__resnetae,BR_AdaBoostClassifier,Predict Fmeasure,Fmeasure Score,0.1711848,1.3103434664237664e-05,5
chest_xray_nih__resnetae,BR_AdaBoostClassifier,Predict Fmeasure,Hamming Accuracy,0.1053934,7.157723101657208e-05,5
chest_xray_nih__resnetae,BR_AdaBoostClassifier,Predict Fmeasure,Informedness,0.5000934,7.84684650034496e-05,5
chest_xray_nih__resnetae,BR_AdaBoostClassifier,Predict Fmeasure,Macro F1,0.18323640000000002,9.154233993071868e-06,5
chest_xray_nih__resnetae,BR_AdaBoostClassifier,Predict Fmeasure,Markedness,0.053751400000000005,0.00029154296424369254,5
chest_xray_nih__resnetae,BR_AdaBoostClassifier,Predict Fmeasure,Micro F1,0.19024519999999998,1.2755391017139898e-05,5
chest_xray_nih__resnetae,BR_AdaBoostClassifier,Predict Fmeasure,Negative Predictive Value,0.0023758,0.0005770166375417611,5
chest_xray_nih__resnetae,BR_AdaBoostClassifier,Predict Fmeasure,Precision Score,0.1051282,1.1606032913961968e-05,5
chest_xray_nih__resnetae,BR_AdaBoostClassifier,Predict Fmeasure,Recall Score,0.5463224,2.2232858565668626e-05,5
chest_xray_nih__resnetae,BR_AdaBoostClassifier,Predict Fmeasure,Subset Accuracy,0.0,0.0,5
chest_xray_nih__resnetae,BR_AdaBoostClassifier,Predict Hamming,Fmeasure Score,0.45030660000000006,0.0006123767631123923,5
chest_xray_nih__resnetae,BR_AdaBoostClassifier,Predict Hamming,Hamming Accuracy,0.8937592000000001,9.67662131118133e-05,5
chest_xray_nih__resnetae,BR_AdaBoostClassifier,Predict Hamming,Informedness,0.5010174000000001,0.00014471454660810803,5
chest_xray_nih__resnetae,BR_AdaBoostClassifier,Predict Hamming,Macro F1,0.0088298,0.0004677768698856328,5
chest_xray_nih__resnetae,BR_AdaBoostClassifier,Predict Hamming,Markedness,0.673728,0.00036182385217119206,5
chest_xray_nih__resnetae,BR_AdaBoostClassifier,Predict Hamming,Micro F1,0.017638,0.0003528887926812062,5
chest_xray_nih__resnetae,BR_AdaBoostClassifier,Predict Hamming,Negative Predictive Value,0.8955838,1.4872793954062013e-05,5
chest_xray_nih__resnetae,BR_AdaBoostClassifier,Predict Hamming,Precision Score,0.45187160000000004,0.0007203994031091323,5
chest_xray_nih__resnetae,BR_AdaBoostClassifier,Predict Hamming,Recall Score,0.4496576,0.0005432893335967421,5
chest_xray_nih__resnetae,BR_AdaBoostClassifier,Predict Hamming,Subset Accuracy,0.44772639999999997,0.00048606871942143685,5
chest_xray_nih__resnetae,BR_AdaBoostClassifier,Predict Informedness,Fmeasure Score,0.22875640000000003,0.0005400947139159945,5
chest_xray_nih__resnetae,BR_AdaBoostClassifier,Predict Informedness,Hamming Accuracy,0.5237348,0.0006894702314095694,5
chest_xray_nih__resnetae,BR_AdaBoostClassifier,Predict Informedness,Informedness,0.5360456,0.0024010614944228407,5
chest_xray_nih__resnetae,BR_AdaBoostClassifier,Predict Informedness,Macro F1,0.1953898,0.0018802343470961415,5
chest_xray_nih__resnetae,BR_AdaBoostClassifier,Predict Informedness,Markedness,0.5614570000000001,0.0003975845821960159,5
chest_xray_nih__resnetae,BR_AdaBoostClassifier,Predict Informedness,Micro F1,0.2622026,0.0007460722485121686,5
chest_xray_nih__resnetae,BR_AdaBoostClassifier,Predict Informedness,Negative Predictive Value,0.957076,0.0005743095855024496,5
chest_xray_nih__resnetae,BR_AdaBoostClassifier,Predict Informedness,Precision Score,0.1658372,0.00036397760920144176,5
chest_xray_nih__resnetae,BR_AdaBoostClassifier,Predict Informedness,Recall Score,0.444719,0.001646128032687626,5
chest_xray_nih__resnetae,BR_AdaBoostClassifier,Predict Informedness,Subset Accuracy,0.0057982,0.0002219486427081724,5
chest_xray_nih__resnetae,BR_AdaBoostClassifier,Predict Markedness,Fmeasure Score,0.21096900000000002,0.0007738950187202415,5
chest_xray_nih__resnetae,BR_AdaBoostClassifier,Predict Markedness,Hamming Accuracy,0.408221,0.0008238042850094918,5
chest_xray_nih__resnetae,BR_AdaBoostClassifier,Predict Markedness,Informedness,0.5218806,0.0026033623067103074,5
chest_xray_nih__resnetae,BR_AdaBoostClassifier,Predict Markedness,Macro F1,0.1867336,0.0011950570279279501,5
chest_xray_nih__resnetae,BR_AdaBoostClassifier,Predict Markedness,Markedness,0.5656207999999999,0.0003629114216995752,5
chest_xray_nih__resnetae,BR_AdaBoostClassifier,Predict Markedness,Micro F1,0.2269466,0.0007955977626916706,5
chest_xray_nih__resnetae,BR_AdaBoostClassifier,Predict Markedness,Negative Predictive Value,0.9652086000000001,0.00040951532327861053,5
chest_xray_nih__resnetae,BR_AdaBoostClassifier,Predict Markedness,Precision Score,0.1660326,0.0004697646219118675,5
chest_xray_nih__resnetae,BR_AdaBoostClassifier,Predict Markedness,Recall Score,0.4562414,0.0015441336729700493,5
chest_xray_nih__resnetae,BR_AdaBoostClassifier,Predict Markedness,Subset Accuracy,0.0283644,0.00032600046012237565,5
chest_xray_nih__resnetae,BR_AdaBoostClassifier,Predict NPV,Fmeasure Score,0.1852824,0.00015759695428528347,5
chest_xray_nih__resnetae,BR_AdaBoostClassifier,Predict NPV,Hamming Accuracy,0.224044,0.00016188730648201852,5
chest_xray_nih__resnetae,BR_AdaBoostClassifier,Predict NPV,Informedness,0.510574,0.0017784926201702335,5
chest_xray_nih__resnetae,BR_AdaBoostClassifier,Predict NPV,Macro F1,0.1851142,0.0003615766861953558,5
chest_xray_nih__resnetae,BR_AdaBoostClassifier,Predict NPV,Markedness,0.546215,0.0003706291947485938,5
chest_xray_nih__resnetae,BR_AdaBoostClassifier,Predict NPV,Micro F1,0.2082758,0.00016769824089714095,5
chest_xray_nih__resnetae,BR_AdaBoostClassifier,Predict NPV,Negative Predictive Value,0.9757773999999999,0.0006475405778790258,5
chest_xray_nih__resnetae,BR_AdaBoostClassifier,Predict NPV,Precision Score,0.116654,9.319066476852379e-05,5
chest_xray_nih__resnetae,BR_AdaBoostClassifier,Predict NPV,Recall Score,0.5315538,0.0005585711234927887,5
