Dataset,Model,Predict Function of Model,Metric Function,Score
emotions,LogisticRegression,Predict Hamming,Hamming Accuracy,0.794379
emotions,LogisticRegression,Predict Hamming,Subset Accuracy,0.253107
emotions,LogisticRegression,Predict Hamming,Precision Score,0.648183
emotions,LogisticRegression,Predict Hamming,Negative Predictive Value,0.847403
emotions,LogisticRegression,Predict Hamming,Recall Score,0.624923
emotions,LogisticRegression,Predict Hamming,Markedness,0.747792
emotions,LogisticRegression,Predict Hamming,Fmeasure Score,0.604205
emotions,LogisticRegression,Predict Hamming,Informedness,0.739485
emotions,LogisticRegression,Predict Subset,Hamming Accuracy,0.787085
emotions,LogisticRegression,Predict Subset,Subset Accuracy,0.276808
emotions,LogisticRegression,Predict Subset,Precision Score,0.655962
emotions,LogisticRegression,Predict Subset,Negative Predictive Value,0.855702
emotions,LogisticRegression,Predict Subset,Recall Score,0.670773
emotions,LogisticRegression,Predict Subset,Markedness,0.755831
emotions,LogisticRegression,Predict Subset,Fmeasure Score,0.632975
emotions,LogisticRegression,Predict Subset,Informedness,0.74981
emotions,LogisticRegression,Predict Precision,Hamming Accuracy,0.764285
emotions,LogisticRegression,Predict Precision,Subset Accuracy,0.155253
emotions,LogisticRegression,Predict Precision,Precision Score,0.72709
emotions,LogisticRegression,Predict Precision,Negative Predictive Value,0.771722
emotions,LogisticRegression,Predict Precision,Recall Score,0.414725
emotions,LogisticRegression,Predict Precision,Markedness,0.749408
emotions,LogisticRegression,Predict Precision,Fmeasure Score,0.510033
emotions,LogisticRegression,Predict Precision,Informedness,0.655505
emotions,LogisticRegression,Predict NPV,Hamming Accuracy,0.467402
emotions,LogisticRegression,Predict NPV,Subset Accuracy,0.0
emotions,LogisticRegression,Predict NPV,Precision Score,0.367287
emotions,LogisticRegression,Predict NPV,Negative Predictive Value,0.967965
emotions,LogisticRegression,Predict NPV,Recall Score,0.982863
emotions,LogisticRegression,Predict NPV,Markedness,0.667628
emotions,LogisticRegression,Predict NPV,Fmeasure Score,0.521078
emotions,LogisticRegression,Predict NPV,Informedness,0.60333
emotions,LogisticRegression,Predict Recall,Hamming Accuracy,0.311411
emotions,LogisticRegression,Predict Recall,Subset Accuracy,0.0
emotions,LogisticRegression,Predict Recall,Precision Score,0.311411
emotions,LogisticRegression,Predict Recall,Negative Predictive Value,0.0
emotions,LogisticRegression,Predict Recall,Recall Score,1.0
emotions,LogisticRegression,Predict Recall,Markedness,0.155706
emotions,LogisticRegression,Predict Recall,Fmeasure Score,0.46378
emotions,LogisticRegression,Predict Recall,Informedness,0.5
emotions,LogisticRegression,Predict Markedness,Hamming Accuracy,0.775852
emotions,LogisticRegression,Predict Markedness,Subset Accuracy,0.236271
emotions,LogisticRegression,Predict Markedness,Precision Score,0.677002
emotions,LogisticRegression,Predict Markedness,Negative Predictive Value,0.851549
emotions,LogisticRegression,Predict Markedness,Recall Score,0.651652
emotions,LogisticRegression,Predict Markedness,Markedness,0.764276
emotions,LogisticRegression,Predict Markedness,Fmeasure Score,0.616131
emotions,LogisticRegression,Predict Markedness,Informedness,0.730222
emotions,LogisticRegression,Predict Fmeasure,Hamming Accuracy,0.757811
emotions,LogisticRegression,Predict Fmeasure,Subset Accuracy,0.205877
emotions,LogisticRegression,Predict Fmeasure,Precision Score,0.604333
emotions,LogisticRegression,Predict Fmeasure,Negative Predictive Value,0.899567
emotions,LogisticRegression,Predict Fmeasure,Recall Score,0.814911
emotions,LogisticRegression,Predict Fmeasure,Markedness,0.75195
emotions,LogisticRegression,Predict Fmeasure,Fmeasure Score,0.661606
emotions,LogisticRegression,Predict Fmeasure,Informedness,0.764361
emotions,LogisticRegression,Predict Informedness,Hamming Accuracy,0.769051
emotions,LogisticRegression,Predict Informedness,Subset Accuracy,0.219322
emotions,LogisticRegression,Predict Informedness,Precision Score,0.618725
emotions,LogisticRegression,Predict Informedness,Negative Predictive Value,0.887272
emotions,LogisticRegression,Predict Informedness,Recall Score,0.780583
emotions,LogisticRegression,Predict Informedness,Markedness,0.752999
emotions,LogisticRegression,Predict Informedness,Fmeasure Score,0.658911
emotions,LogisticRegression,Predict Informedness,Informedness,0.763209
