Dataset,Model,Predict Function of Model,Metric Function,Score,Seed,Estimator Tag
flags,PCC_AdaBoostClassifier,Predict Hamming,Hamming Accuracy,0.72748,1,adaboost
flags,PCC_AdaBoostClassifier,Predict Hamming,Subset Accuracy,0.118683,1,adaboost
flags,PCC_AdaBoostClassifier,Predict Hamming,Precision Score,0.664601,1,adaboost
flags,PCC_AdaBoostClassifier,Predict Hamming,Negative Predictive Value,0.710049,1,adaboost
flags,PCC_AdaBoostClassifier,Predict Hamming,Recall Score,0.689535,1,adaboost
flags,PCC_AdaBoostClassifier,Predict Hamming,Markedness,0.687324,1,adaboost
flags,PCC_AdaBoostClassifier,Predict Hamming,Fmeasure Score,0.661536,1,adaboost
flags,PCC_AdaBoostClassifier,Predict Hamming,Informedness,0.66133,1,adaboost
flags,PCC_AdaBoostClassifier,Predict Hamming,Macro F1,0.650392,1,adaboost
flags,PCC_AdaBoostClassifier,Predict Hamming,Micro F1,0.723235,1,adaboost
flags,PCC_AdaBoostClassifier,Predict Subset,Hamming Accuracy,0.698234,1,adaboost
flags,PCC_AdaBoostClassifier,Predict Subset,Subset Accuracy,0.196315,1,adaboost
flags,PCC_AdaBoostClassifier,Predict Subset,Precision Score,0.670443,1,adaboost
flags,PCC_AdaBoostClassifier,Predict Subset,Negative Predictive Value,0.668544,1,adaboost
flags,PCC_AdaBoostClassifier,Predict Subset,Recall Score,0.692765,1,adaboost
flags,PCC_AdaBoostClassifier,Predict Subset,Markedness,0.669493,1,adaboost
flags,PCC_AdaBoostClassifier,Predict Subset,Fmeasure Score,0.674727,1,adaboost
flags,PCC_AdaBoostClassifier,Predict Subset,Informedness,0.617416,1,adaboost
flags,PCC_AdaBoostClassifier,Predict Subset,Macro F1,0.582361,1,adaboost
flags,PCC_AdaBoostClassifier,Predict Subset,Micro F1,0.691035,1,adaboost
flags,PCC_AdaBoostClassifier,Predict Precision,Hamming Accuracy,0.592068,1,adaboost
flags,PCC_AdaBoostClassifier,Predict Precision,Subset Accuracy,0.0,1,adaboost
flags,PCC_AdaBoostClassifier,Predict Precision,Precision Score,0.768684,1,adaboost
flags,PCC_AdaBoostClassifier,Predict Precision,Negative Predictive Value,0.562632,1,adaboost
flags,PCC_AdaBoostClassifier,Predict Precision,Recall Score,0.245077,1,adaboost
flags,PCC_AdaBoostClassifier,Predict Precision,Markedness,0.665657,1,adaboost
flags,PCC_AdaBoostClassifier,Predict Precision,Fmeasure Score,0.364146,1,adaboost
flags,PCC_AdaBoostClassifier,Predict Precision,Informedness,0.526373,1,adaboost
flags,PCC_AdaBoostClassifier,Predict Precision,Macro F1,0.232256,1,adaboost
flags,PCC_AdaBoostClassifier,Predict Precision,Micro F1,0.350891,1,adaboost
flags,PCC_AdaBoostClassifier,Predict NPV,Hamming Accuracy,0.57891,1,adaboost
flags,PCC_AdaBoostClassifier,Predict NPV,Subset Accuracy,0.015263,1,adaboost
flags,PCC_AdaBoostClassifier,Predict NPV,Precision Score,0.537104,1,adaboost
flags,PCC_AdaBoostClassifier,Predict NPV,Negative Predictive Value,0.829737,1,adaboost
flags,PCC_AdaBoostClassifier,Predict NPV,Recall Score,0.957088,1,adaboost
flags,PCC_AdaBoostClassifier,Predict NPV,Markedness,0.68342,1,adaboost
flags,PCC_AdaBoostClassifier,Predict NPV,Fmeasure Score,0.670457,1,adaboost
flags,PCC_AdaBoostClassifier,Predict NPV,Informedness,0.516283,1,adaboost
flags,PCC_AdaBoostClassifier,Predict NPV,Macro F1,0.606915,1,adaboost
flags,PCC_AdaBoostClassifier,Predict NPV,Micro F1,0.685366,1,adaboost
flags,PCC_AdaBoostClassifier,Predict Recall,Hamming Accuracy,0.4847,1,adaboost
flags,PCC_AdaBoostClassifier,Predict Recall,Subset Accuracy,0.01,1,adaboost
flags,PCC_AdaBoostClassifier,Predict Recall,Precision Score,0.4847,1,adaboost
flags,PCC_AdaBoostClassifier,Predict Recall,Negative Predictive Value,0.01,1,adaboost
flags,PCC_AdaBoostClassifier,Predict Recall,Recall Score,1.0,1,adaboost
flags,PCC_AdaBoostClassifier,Predict Recall,Markedness,0.247348,1,adaboost
flags,PCC_AdaBoostClassifier,Predict Recall,Fmeasure Score,0.636587,1,adaboost
flags,PCC_AdaBoostClassifier,Predict Recall,Informedness,0.5,1,adaboost
flags,PCC_AdaBoostClassifier,Predict Recall,Macro F1,0.613148,1,adaboost
flags,PCC_AdaBoostClassifier,Predict Recall,Micro F1,0.652092,1,adaboost
flags,PCC_AdaBoostClassifier,Predict Markedness,Hamming Accuracy,0.578834,1,adaboost
flags,PCC_AdaBoostClassifier,Predict Markedness,Subset Accuracy,0.015526,1,adaboost
flags,PCC_AdaBoostClassifier,Predict Markedness,Precision Score,0.631157,1,adaboost
flags,PCC_AdaBoostClassifier,Predict Markedness,Negative Predictive Value,0.712715,1,adaboost
flags,PCC_AdaBoostClassifier,Predict Markedness,Recall Score,0.672172,1,adaboost
flags,PCC_AdaBoostClassifier,Predict Markedness,Markedness,0.671938,1,adaboost
flags,PCC_AdaBoostClassifier,Predict Markedness,Fmeasure Score,0.553925,1,adaboost
flags,PCC_AdaBoostClassifier,Predict Markedness,Informedness,0.492311,1,adaboost
flags,PCC_AdaBoostClassifier,Predict Markedness,Macro F1,0.496535,1,adaboost
flags,PCC_AdaBoostClassifier,Predict Markedness,Micro F1,0.587897,1,adaboost
flags,PCC_AdaBoostClassifier,Predict Fmeasure,Hamming Accuracy,0.491428,1,adaboost
flags,PCC_AdaBoostClassifier,Predict Fmeasure,Subset Accuracy,0.01,1,adaboost
flags,PCC_AdaBoostClassifier,Predict Fmeasure,Precision Score,0.488221,1,adaboost
flags,PCC_AdaBoostClassifier,Predict Fmeasure,Negative Predictive Value,0.057104,1,adaboost
flags,PCC_AdaBoostClassifier,Predict Fmeasure,Recall Score,0.999123,1,adaboost
flags,PCC_AdaBoostClassifier,Predict Fmeasure,Markedness,0.272661,1,adaboost
flags,PCC_AdaBoostClassifier,Predict Fmeasure,Fmeasure Score,0.639554,1,adaboost
flags,PCC_AdaBoostClassifier,Predict Fmeasure,Informedness,0.502826,1,adaboost
flags,PCC_AdaBoostClassifier,Predict Fmeasure,Macro F1,0.613955,1,adaboost
flags,PCC_AdaBoostClassifier,Predict Fmeasure,Micro F1,0.654803,1,adaboost
flags,PCC_AdaBoostClassifier,Predict Informedness,Hamming Accuracy,0.647895,1,adaboost
flags,PCC_AdaBoostClassifier,Predict Informedness,Subset Accuracy,0.066841,1,adaboost
flags,PCC_AdaBoostClassifier,Predict Informedness,Precision Score,0.669891,1,adaboost
flags,PCC_AdaBoostClassifier,Predict Informedness,Negative Predictive Value,0.693128,1,adaboost
flags,PCC_AdaBoostClassifier,Predict Informedness,Recall Score,0.688606,1,adaboost
flags,PCC_AdaBoostClassifier,Predict Informedness,Markedness,0.681509,1,adaboost
flags,PCC_AdaBoostClassifier,Predict Informedness,Fmeasure Score,0.630817,1,adaboost
flags,PCC_AdaBoostClassifier,Predict Informedness,Informedness,0.532668,1,adaboost
flags,PCC_AdaBoostClassifier,Predict Informedness,Macro F1,0.502934,1,adaboost
flags,PCC_AdaBoostClassifier,Predict Informedness,Micro F1,0.640147,1,adaboost
flags,PCC_AdaBoostClassifier,Marginal Scores,One-Error Score,0.768684,1,adaboost
flags,PCC_AdaBoostClassifier,Marginal Scores,Coverage Score,0.347587,1,adaboost
flags,PCC_AdaBoostClassifier,Marginal Scores,Ranking Loss Score,0.747311,1,adaboost
flags,PCC_AdaBoostClassifier,Marginal Scores,Average Precision,0.788454,1,adaboost
flags,BR_AdaBoostClassifier,Predict Hamming,Hamming Accuracy,0.730563,1,adaboost
flags,BR_AdaBoostClassifier,Predict Hamming,Subset Accuracy,0.144735,1,adaboost
flags,BR_AdaBoostClassifier,Predict Hamming,Precision Score,0.702641,1,adaboost
flags,BR_AdaBoostClassifier,Predict Hamming,Negative Predictive Value,0.715637,1,adaboost
flags,BR_AdaBoostClassifier,Predict Hamming,Recall Score,0.677604,1,adaboost
flags,BR_AdaBoostClassifier,Predict Hamming,Markedness,0.70914,1,adaboost
flags,BR_AdaBoostClassifier,Predict Hamming,Fmeasure Score,0.675651,1,adaboost
flags,BR_AdaBoostClassifier,Predict Hamming,Informedness,0.638229,1,adaboost
flags,BR_AdaBoostClassifier,Predict Hamming,Macro F1,0.596642,1,adaboost
flags,BR_AdaBoostClassifier,Predict Hamming,Micro F1,0.716669,1,adaboost
flags,BR_AdaBoostClassifier,Predict Subset,Hamming Accuracy,0.730563,1,adaboost
flags,BR_AdaBoostClassifier,Predict Subset,Subset Accuracy,0.144735,1,adaboost
flags,BR_AdaBoostClassifier,Predict Subset,Precision Score,0.702641,1,adaboost
flags,BR_AdaBoostClassifier,Predict Subset,Negative Predictive Value,0.715637,1,adaboost
flags,BR_AdaBoostClassifier,Predict Subset,Recall Score,0.677604,1,adaboost
flags,BR_AdaBoostClassifier,Predict Subset,Markedness,0.70914,1,adaboost
flags,BR_AdaBoostClassifier,Predict Subset,Fmeasure Score,0.675651,1,adaboost
flags,BR_AdaBoostClassifier,Predict Subset,Informedness,0.638229,1,adaboost
flags,BR_AdaBoostClassifier,Predict Subset,Macro F1,0.596642,1,adaboost
flags,BR_AdaBoostClassifier,Predict Subset,Micro F1,0.716669,1,adaboost
flags,BR_AdaBoostClassifier,Predict Precision,Hamming Accuracy,0.597856,1,adaboost
flags,BR_AdaBoostClassifier,Predict Precision,Subset Accuracy,0.0,1,adaboost
flags,BR_AdaBoostClassifier,Predict Precision,Precision Score,0.788947,1,adaboost
flags,BR_AdaBoostClassifier,Predict Precision,Negative Predictive Value,0.56601,1,adaboost
flags,BR_AdaBoostClassifier,Predict Precision,Recall Score,0.254376,1,adaboost
flags,BR_AdaBoostClassifier,Predict Precision,Markedness,0.677478,1,adaboost
flags,BR_AdaBoostClassifier,Predict Precision,Fmeasure Score,0.376822,1,adaboost
flags,BR_AdaBoostClassifier,Predict Precision,Informedness,0.537738,1,adaboost
flags,BR_AdaBoostClassifier,Predict Precision,Macro F1,0.237782,1,adaboost
flags,BR_AdaBoostClassifier,Predict Precision,Micro F1,0.360228,1,adaboost
flags,BR_AdaBoostClassifier,Predict NPV,Hamming Accuracy,0.58199,1,adaboost
flags,BR_AdaBoostClassifier,Predict NPV,Subset Accuracy,0.031052,1,adaboost
flags,BR_AdaBoostClassifier,Predict NPV,Precision Score,0.538904,1,adaboost
flags,BR_AdaBoostClassifier,Predict NPV,Negative Predictive Value,0.840529,1,adaboost
flags,BR_AdaBoostClassifier,Predict NPV,Recall Score,0.956707,1,adaboost
flags,BR_AdaBoostClassifier,Predict NPV,Markedness,0.689714,1,adaboost
flags,BR_AdaBoostClassifier,Predict NPV,Fmeasure Score,0.671569,1,adaboost
flags,BR_AdaBoostClassifier,Predict NPV,Informedness,0.524242,1,adaboost
flags,BR_AdaBoostClassifier,Predict NPV,Macro F1,0.61719,1,adaboost
flags,BR_AdaBoostClassifier,Predict NPV,Micro F1,0.687395,1,adaboost
flags,BR_AdaBoostClassifier,Predict Recall,Hamming Accuracy,0.4847,1,adaboost
flags,BR_AdaBoostClassifier,Predict Recall,Subset Accuracy,0.01,1,adaboost
flags,BR_AdaBoostClassifier,Predict Recall,Precision Score,0.4847,1,adaboost
flags,BR_AdaBoostClassifier,Predict Recall,Negative Predictive Value,0.01,1,adaboost
flags,BR_AdaBoostClassifier,Predict Recall,Recall Score,1.0,1,adaboost
flags,BR_AdaBoostClassifier,Predict Recall,Markedness,0.247348,1,adaboost
flags,BR_AdaBoostClassifier,Predict Recall,Fmeasure Score,0.636587,1,adaboost
flags,BR_AdaBoostClassifier,Predict Recall,Informedness,0.5,1,adaboost
flags,BR_AdaBoostClassifier,Predict Recall,Macro F1,0.613148,1,adaboost
flags,BR_AdaBoostClassifier,Predict Recall,Micro F1,0.652092,1,adaboost
flags,BR_AdaBoostClassifier,Predict Markedness,Hamming Accuracy,0.604774,1,adaboost
flags,BR_AdaBoostClassifier,Predict Markedness,Subset Accuracy,0.020789,1,adaboost
flags,BR_AdaBoostClassifier,Predict Markedness,Precision Score,0.682692,1,adaboost
flags,BR_AdaBoostClassifier,Predict Markedness,Negative Predictive Value,0.688618,1,adaboost
flags,BR_AdaBoostClassifier,Predict Markedness,Recall Score,0.615853,1,adaboost
flags,BR_AdaBoostClassifier,Predict Markedness,Markedness,0.685655,1,adaboost
flags,BR_AdaBoostClassifier,Predict Markedness,Fmeasure Score,0.548529,1,adaboost
flags,BR_AdaBoostClassifier,Predict Markedness,Informedness,0.524003,1,adaboost
flags,BR_AdaBoostClassifier,Predict Markedness,Macro F1,0.481061,1,adaboost
flags,BR_AdaBoostClassifier,Predict Markedness,Micro F1,0.586286,1,adaboost
flags,BR_AdaBoostClassifier,Predict Fmeasure,Hamming Accuracy,0.489924,1,adaboost
flags,BR_AdaBoostClassifier,Predict Fmeasure,Subset Accuracy,0.005,1,adaboost
flags,BR_AdaBoostClassifier,Predict Fmeasure,Precision Score,0.487582,1,adaboost
flags,BR_AdaBoostClassifier,Predict Fmeasure,Negative Predictive Value,0.051841,1,adaboost
flags,BR_AdaBoostClassifier,Predict Fmeasure,Recall Score,0.997093,1,adaboost
flags,BR_AdaBoostClassifier,Predict Fmeasure,Markedness,0.269711,1,adaboost
flags,BR_AdaBoostClassifier,Predict Fmeasure,Fmeasure Score,0.638394,1,adaboost
flags,BR_AdaBoostClassifier,Predict Fmeasure,Informedness,0.501553,1,adaboost
flags,BR_AdaBoostClassifier,Predict Fmeasure,Macro F1,0.612831,1,adaboost
flags,BR_AdaBoostClassifier,Predict Fmeasure,Micro F1,0.653444,1,adaboost
flags,BR_AdaBoostClassifier,Predict Informedness,Hamming Accuracy,0.664097,1,adaboost
flags,BR_AdaBoostClassifier,Predict Informedness,Subset Accuracy,0.088156,1,adaboost
flags,BR_AdaBoostClassifier,Predict Informedness,Precision Score,0.68578,1,adaboost
flags,BR_AdaBoostClassifier,Predict Informedness,Negative Predictive Value,0.68839,1,adaboost
flags,BR_AdaBoostClassifier,Predict Informedness,Recall Score,0.68804,1,adaboost
flags,BR_AdaBoostClassifier,Predict Informedness,Markedness,0.687085,1,adaboost
flags,BR_AdaBoostClassifier,Predict Informedness,Fmeasure Score,0.64325,1,adaboost
flags,BR_AdaBoostClassifier,Predict Informedness,Informedness,0.5589,1,adaboost
flags,BR_AdaBoostClassifier,Predict Informedness,Macro F1,0.518666,1,adaboost
flags,BR_AdaBoostClassifier,Predict Informedness,Micro F1,0.652066,1,adaboost
flags,BR_AdaBoostClassifier,Marginal Scores,One-Error Score,0.788947,1,adaboost
flags,BR_AdaBoostClassifier,Marginal Scores,Coverage Score,0.349693,1,adaboost
flags,BR_AdaBoostClassifier,Marginal Scores,Ranking Loss Score,0.766922,1,adaboost
flags,BR_AdaBoostClassifier,Marginal Scores,Average Precision,0.807085,1,adaboost
flags,PCC_LogisticRegression,Predict Hamming,Hamming Accuracy,0.725038,1,lr
flags,PCC_LogisticRegression,Predict Hamming,Subset Accuracy,0.13342,1,lr
flags,PCC_LogisticRegression,Predict Hamming,Precision Score,0.682472,1,lr
flags,PCC_LogisticRegression,Predict Hamming,Negative Predictive Value,0.710462,1,lr
flags,PCC_LogisticRegression,Predict Hamming,Recall Score,0.674447,1,lr
flags,PCC_LogisticRegression,Predict Hamming,Markedness,0.696465,1,lr
