Dataset,Model,Predict Function of Model,Metric Function,Mean,Std,N
yeast,BR_AdaBoostClassifier,Marginal Scores,Average Precision,0.735961,0.0013326312318117119,5
yeast,BR_AdaBoostClassifier,Marginal Scores,Coverage Score,0.4783212,0.001132304155251597,5
yeast,BR_AdaBoostClassifier,Marginal Scores,One-Error Score,0.7365286,0.005139550009485275,5
yeast,BR_AdaBoostClassifier,Marginal Scores,Ranking Loss Score,0.8133282,0.0009507043178612438,5
yeast,BR_AdaBoostClassifier,Predict Fmeasure,Fmeasure Score,0.46625639999999996,0.0006286603216364308,5
yeast,BR_AdaBoostClassifier,Predict Fmeasure,Hamming Accuracy,0.3394158,0.0017143863916865437,5
yeast,BR_AdaBoostClassifier,Predict Fmeasure,Informedness,0.5027022000000001,0.002106588521757413,5
yeast,BR_AdaBoostClassifier,Predict Fmeasure,Macro F1,0.42520420000000003,0.0002228131504198076,5
yeast,BR_AdaBoostClassifier,Predict Fmeasure,Markedness,0.405015,0.011836627729214084,5
yeast,BR_AdaBoostClassifier,Predict Fmeasure,Micro F1,0.47758579999999995,0.0006539684243142035,5
yeast,BR_AdaBoostClassifier,Predict Fmeasure,Negative Predictive Value,0.4955338,0.02310444938101748,5
yeast,BR_AdaBoostClassifier,Predict Fmeasure,Precision Score,0.3144964,0.0005742192960881781,5
yeast,BR_AdaBoostClassifier,Predict Fmeasure,Recall Score,0.9980084,0.0002660569487910366,5
yeast,BR_AdaBoostClassifier,Predict Fmeasure,Subset Accuracy,0.0,0.0,5
yeast,BR_AdaBoostClassifier,Predict Hamming,Fmeasure Score,0.5944126,0.002546707933784335,5
yeast,BR_AdaBoostClassifier,Predict Hamming,Hamming Accuracy,0.7821322,0.0015982977507335698,5
yeast,BR_AdaBoostClassifier,Predict Hamming,Informedness,0.589079,0.003441279340594153,5
yeast,BR_AdaBoostClassifier,Predict Hamming,Macro F1,0.41336300000000004,0.0057815002810689305,5
yeast,BR_AdaBoostClassifier,Predict Hamming,Markedness,0.7468106000000001,0.0016504409410821308,5
yeast,BR_AdaBoostClassifier,Predict Hamming,Micro F1,0.6193184,0.0027668104922455483,5
yeast,BR_AdaBoostClassifier,Predict Hamming,Negative Predictive Value,0.8315809999999999,0.0012471515545433816,5
yeast,BR_AdaBoostClassifier,Predict Hamming,Precision Score,0.6620408,0.0022835719169756784,5
yeast,BR_AdaBoostClassifier,Predict Hamming,Recall Score,0.5904338,0.003951031599468654,5
yeast,BR_AdaBoostClassifier,Predict Hamming,Subset Accuracy,0.1155948,0.003918458140646648,5
yeast,BR_AdaBoostClassifier,Predict Informedness,Fmeasure Score,0.5365596,0.00118472836549142,5
yeast,BR_AdaBoostClassifier,Predict Informedness,Hamming Accuracy,0.5257310000000001,0.0034197786478075056,5
yeast,BR_AdaBoostClassifier,Predict Informedness,Informedness,0.5457762,0.002874548955923365,5
yeast,BR_AdaBoostClassifier,Predict Informedness,Macro F1,0.4407368,0.0020052903031730863,5
yeast,BR_AdaBoostClassifier,Predict Informedness,Markedness,0.6667132,0.0007492627709956018,5
yeast,BR_AdaBoostClassifier,Predict Informedness,Micro F1,0.5420448,0.0011427935946617866,5
yeast,BR_AdaBoostClassifier,Predict Informedness,Negative Predictive Value,0.931775,0.001223237711975881,5
yeast,BR_AdaBoostClassifier,Predict Informedness,Precision Score,0.4016516,0.001967612843015637,5
yeast,BR_AdaBoostClassifier,Predict Informedness,Recall Score,0.9297388,0.003264022855312126,5
yeast,BR_AdaBoostClassifier,Predict Informedness,Subset Accuracy,0.0071992,0.0014804618198386613,5
yeast,BR_AdaBoostClassifier,Predict Markedness,Fmeasure Score,0.47715879999999994,0.0011840163427926098,5
yeast,BR_AdaBoostClassifier,Predict Markedness,Hamming Accuracy,0.3961602,0.001910095861468746,5
yeast,BR_AdaBoostClassifier,Predict Markedness,Informedness,0.5084296,0.003028219080581872,5
yeast,BR_AdaBoostClassifier,Predict Markedness,Macro F1,0.4233472,0.0008497059491377089,5
yeast,BR_AdaBoostClassifier,Predict Markedness,Markedness,0.6546042,0.0015637612349716757,5
yeast,BR_AdaBoostClassifier,Predict Markedness,Micro F1,0.4903282,0.0010832043666824933,5
yeast,BR_AdaBoostClassifier,Predict Markedness,Negative Predictive Value,0.9593478,0.0028138265227266933,5
yeast,BR_AdaBoostClassifier,Predict Markedness,Precision Score,0.3498612,0.0031059432866683443,5
yeast,BR_AdaBoostClassifier,Predict Markedness,Recall Score,0.9609332,0.004448829250488215,5
yeast,BR_AdaBoostClassifier,Predict Markedness,Subset Accuracy,0.0019858000000000002,0.000847179555938409,5
yeast,BR_AdaBoostClassifier,Predict NPV,Fmeasure Score,0.47585180000000005,0.0002013782510600415,5
yeast,BR_AdaBoostClassifier,Predict NPV,Hamming Accuracy,0.3697452,0.00025544999510668275,5
